"","nrep","ind_y_mean","ind_y_var","dyad_y_1_mean","dyad_y_2_mean","dyad_con_1_mean","dyad_con_2_mean","ind_con_mean","ind_con_var","sib0Dev","sib1Dev","sib2Dev","sib3Dev","REMLcriterionMLM0","REMLcriterionMLM1","REMLcriterionMLM2","REMLcriterionMLM3","REMLcriterionMLM4","REMLcriterionMLM5","REMLcriterionMLM6","AIC_sib0","BIC_sib0","BIC_sib1","BIC_sib2","BIC_sib3","BIC_MLM0","BIC_MLM1","BIC_MLM2","BIC_MLM3","BIC_MLM4","BIC_MLM5","BIC_MLM6","ResSD_sib0","ResSD_sib1","ResSD_sib2","ResSD_sib3","ResSD_MLM0","ResSD_MLM1","ResSD_MLM2","ResSD_MLM3","ResSD_MLM4","ResSD_MLM5","ResSD_MLM6","coef_y_mean_sib0","coef_y_mean_sib0p","coef_con_mean_sib0","coef_con_mean_sib0p","coef_con_diff_sib0","coef_con_diff_sib0p","coef_gender_comp_two_sib0","coef_gender_comp_two_sib0p","coef_y_mean_sib1","coef_y_mean_sib1p","coef_con_mean_sib1","coef_con_mean_sib1p","coef_con_diff_sib1","coef_con_diff_sib1p","coef_gender_ev1_sib1","coef_gender_ev1_sib1p","coef_gender_ev2_sib1","coef_gender_ev2_sib1p","coef_y_mean_sib2","coef_y_mean_sib2p","coef_con_mean_sib2","coef_con_mean_sib2p","coef_con_diff_sib2","coef_con_diff_sib2p","coef_gender_comp_two_sib2","coef_gender_comp_two_sib2p","coef_condiff_gendertwo_sib2","coef_condiff_gendertwo_sib2p","coef_y_mean_sib3","coef_y_mean_sib3p","coef_con_mean_sib3","coef_con_mean_sib3p","coef_con_diff_sib3","coef_con_diff_sib3p","coef_gender_ev1_sib3","coef_gender_ev1_sib3p","coef_gender_ev2_sib3","coef_condiff_ev1_sib3","coef_condiff_ev1_sib3p","coef_condiff_ev2_ev2_sib3","coef_gcondiff_ev3_ev2_sib3p"
"1",1,0.681686276293454,291.829989636835,1.01923328934477,0.344139263242134,0.846840189258196,0.381972631259281,0.614406410258739,291.829989636835,14946.5470037476,14847.2250577453,14946.5470037476,10302.6766014139,8185.12517013476,7576.11231141038,7502.96935482884,6936.45143034556,6943.91218471068,6595.1309932322,6569.81237221583,2998.24892613604,3207.41444517775,3210.24852243771,3207.41444517775,3036.35862266751,8187.05764073287,7624.27186987684,7555.61202417992,6943.67248818496,6958.40958993659,6660.99058737248,6646.83564901005,5.44032377526358,5.42759429917884,5.44032377526358,4.53026049606191,7.67964462245961,5.10587127577163,4.73989481927354,7.02898069699181,7.0286917699257,6.18633159342475,6.06230324635884,0.209924650756117,0.000449164061439859,-0.0234002756210479,0.228994488402167,0.16342080722431,1.81609337209531e-13,-0.529540117132655,0.509820162017505,0.138303196261523,0.0518659770821426,-0.00181515881538229,0.936212819447844,0.15500213704283,6.44762178089463e-12,0.604023895438295,0.273667222672819,0.579046337018939,0.650385579264504,0.209924650756117,0.000449164061439859,-0.0234002756210479,0.228994488402167,0.16342080722431,1.81609337209531e-13,-0.529540117132655,0.509820162017505,NA,NA,0.176736192361077,0.00470996482085504,-0.0175565327057746,0.380304342828829,0.244067129261054,4.9129303897968e-26,-2.62966428013463,0.00447926907661089,3.22583883543786,0.50955304812437,4.60736071599175e-40,-0.120414697585049,4.35633857831579e-06
"2",2,-0.0793909505109272,299.721904620848,-0.148793839901673,-0.00998806112018139,0.969777177978871,0.854255320243419,0.912016249111145,299.721904620848,17361.9287195962,17113.0238424118,17361.9287195962,10935.2033963391,8185.12517013476,7576.11231141038,7502.96935482884,6936.45143034556,6943.91218471068,6595.1309932322,6569.81237221583,3028.63652579973,3283.81219064186,3282.68220004572,3283.81219064186,3066.74622233119,8215.02924042701,7627.40005562893,7574.46120312279,6975.09313733909,6988.99098531235,6705.14175178081,6693.13655103693,5.8634509352844,5.82704147794897,5.8634509352844,4.66725547810344,7.78950810520332,5.09128435816118,4.77666886877785,7.24106529515776,7.24155991871865,6.32217646105711,6.20252633211782,0.154887040222451,0.0148081855827136,-0.0254929402886129,0.230318693614212,0.201531364633253,8.95483441285549e-17,0.362589736715335,0.681088529860782,0.0398062587279455,0.600436503752563,0.00838825701503764,0.732495696198648,0.189881642973567,6.83853646100166e-15,0.119601301142341,0.84188118104189,2.5306026115152,0.0695993961946985,0.154887040222451,0.0148081855827136,-0.0254929402886129,0.230318693614212,0.201531364633253,8.95483441285549e-17,0.362589736715335,0.681088529860782,NA,NA,0.190726063297521,0.00386134571106022,-0.0287559259718355,0.175750433345943,0.244609165766352,4.91993890721913e-28,-2.74956250983236,0.00768999860819343,3.1990466057784,0.542774214085993,7.95725144966817e-50,-0.136019522803269,3.21278819926254e-07
"3",3,0.477020208954989,318.833329736326,0.398728612784262,0.555311805125715,-0.391218904238952,-0.151982047717661,-0.271600475978306,318.833329736326,15429.9887250151,15412.0637755427,15429.9887250151,11035.4712366563,8185.12517013476,7576.11231141038,7502.96935482884,6936.45143034556,6943.91218471068,6595.1309932322,6569.81237221583,3033.29154476803,3223.64908757236,3229.29068916127,3223.64908757236,3071.4012412995,8279.91927737069,7602.48188306589,7570.61225933726,6965.67780091087,6980.21207394979,6743.99737365099,6732.79032387584,5.52760645477242,5.52987265840185,5.52760645477242,4.6886043159544,8.05091985241067,4.93270674068633,4.7307045712324,7.2075804981041,7.21025799580431,6.44436986661181,6.32514727463357,0.307114740383881,3.07045831248944e-06,-0.0763743385116236,0.00050519761591719,0.169150565998377,8.10429935857082e-13,-1.38174695778804,0.123239269156697,0.279670613218191,0.000187603718849344,-0.068351365188945,0.00494396268198792,0.165849141964193,4.8876561531652e-12,1.03806487160991,0.0926341039853633,-1.3464412026578,0.321984316361657,0.307114740383881,3.07045831248944e-06,-0.0763743385116236,0.00050519761591719,0.169150565998377,8.10429935857082e-13,-1.38174695778804,0.123239269156697,NA,NA,0.295655038810585,1.29045925644376e-05,-0.0745285023236588,0.000630361857210583,0.244546915689017,1.3066740503895e-22,-2.37237644657049,0.178256933260411,1.69557022164218,0.512352902564909,3.23156814300089e-38,-0.129219369541718,4.00409714019803e-06
"4",4,1.39362476559134,305.637586772686,1.54640842629788,1.2408411048848,0.257068919295426,0.173699848463669,0.215384383879547,305.637586772686,15261.9832680551,15256.8136893746,15261.9832680551,10642.5804326052,8185.12517013476,7576.11231141038,7502.96935482884,6936.45143034556,6943.91218471068,6595.1309932322,6569.81237221583,3014.80314398261,3218.06563148952,3224.12726442483,3218.06563148952,3052.91284051407,8198.7098728679,7608.16894653391,7530.6730597949,6898.48097878576,6913.03295241017,6650.57010466531,6652.35920361665,5.49743113150621,5.50195017542745,5.49743113150621,4.60438480445546,7.55898814548861,5.01216124166487,4.63115669810963,6.9734643529077,6.97600697746461,6.15509713434947,6.07997235677246,0.266161868721814,3.96107771665612e-05,-0.0468573377019653,0.0241913595537809,0.165652250721354,9.45079156027901e-13,-1.42489985887668,0.10532539046352,0.249835670258246,0.000990604240831818,-0.0417960849717905,0.0833301628597097,0.164209534490399,2.66314648023496e-12,1.0096925567773,0.0949602115685561,-1.60688546042381,0.241280950777895,0.266161868721814,3.96107771665612e-05,-0.0468573377019653,0.0241913595537809,0.165652250721354,9.45079156027901e-13,-1.42489985887668,0.10532539046352,NA,NA,0.317035140914092,2.16022056595918e-06,-0.0571392442991923,0.0073440303496585,0.238167990605561,3.45041492167384e-22,-1.8011445161806,0.610968057963395,0.618349065832926,0.535351733160835,2.34066954380492e-40,-0.117558799376338,1.73028063096356e-05
"5",5,-1.0137686585126,313.007582156998,-0.926427813344645,-1.10110950368055,0.489957786733572,0.367561745721091,0.428759766227332,313.007582156998,14213.4766431338,14212.816869059,14213.4766431338,8661.272836832,8185.12517013476,7576.11231141038,7502.96935482884,6936.45143034556,6943.91218471068,6595.1309932322,6569.81237221583,2909.742488251,3181.76668308207,3187.97741961487,3181.76668308207,2947.85218478247,8205.9078438536,7610.75010094177,7544.53470226651,6971.08921987695,6985.47753214835,6636.69634066987,6625.23283546605,5.30523310545684,5.31037037035602,5.30523310545684,4.15373705805677,7.50840967862965,5.05697716370068,4.65532332394727,6.88876642563243,6.89100202741137,6.112721280938,5.99818404011668,0.197228777724422,0.000744479648087384,-0.0315110084991666,0.123498963615056,0.185987607328268,5.40233074867346e-17,-0.430215701201353,0.583551690949254,0.203335110503913,0.00412210525084304,-0.033351665613559,0.160370952562868,0.186623176916937,1.54697085754215e-16,0.269045900794266,0.615975669272313,-0.682776421630369,0.590148746871801,0.197228777724422,0.000744479648087384,-0.0315110084991666,0.123498963615056,0.185987607328268,5.40233074867346e-17,-0.430215701201353,0.583551690949254,NA,NA,0.243018760054538,3.04613359727701e-05,-0.0499519058243278,0.00967346321460169,0.251151662831394,7.74836029689887e-33,-2.61407344280123,0.0332682508897828,2.25220092300022,0.530184756944036,9.06491710467727e-55,-0.113574330037423,1.08589572461876e-06
