"","cn","target_ICC","beta1","beta2","beta3","wtn","condition","btw"
"92",120,0.2,0.3,0.3,0.5,100,92,55.5555555555556
"93",510,0.2,0.3,0.3,0.5,100,93,55.5555555555556
"94",30,0.4,0.3,0.3,0.5,100,94,157.407407407407
"95",120,0.4,0.3,0.3,0.5,100,95,157.407407407407
"96",510,0.4,0.3,0.3,0.5,100,96,157.407407407407
"97",30,0.8,0.3,0.3,0.5,100,97,972.222222222223
"98",120,0.8,0.3,0.3,0.5,100,98,972.222222222223
"99",510,0.8,0.3,0.3,0.5,100,99,972.222222222223
"100",30,0.2,0.3,0.5,0.5,100,100,41.1764705882353
"101",120,0.2,0.3,0.5,0.5,100,101,41.1764705882353
"102",510,0.2,0.3,0.5,0.5,100,102,41.1764705882353
"103",30,0.4,0.3,0.5,0.5,100,103,114.705882352941
"104",120,0.4,0.3,0.5,0.5,100,104,114.705882352941
"105",510,0.4,0.3,0.5,0.5,100,105,114.705882352941
"106",30,0.8,0.3,0.5,0.5,100,106,702.941176470589
"107",120,0.8,0.3,0.5,0.5,100,107,702.941176470589
"108",510,0.8,0.3,0.5,0.5,100,108,702.941176470589
"109",30,0.2,0.3,0,0,100,109,16.6666666666667
"110",120,0.2,0.3,0,0,100,110,16.6666666666667
"111",510,0.2,0.3,0,0,100,111,16.6666666666667
"112",30,0.4,0.3,0,0,100,112,62.962962962963
"113",120,0.4,0.3,0,0,100,113,62.962962962963
"114",510,0.4,0.3,0,0,100,114,62.962962962963
"115",30,0.8,0.3,0,0,100,115,433.333333333333
"116",120,0.8,0.3,0,0,100,116,433.333333333333
"117",510,0.8,0.3,0,0,100,117,433.333333333333
