"","n_three_level_gender_mimimean","n_three_level_gender_mixedmean","n_three_level_gender_oneonemean","coef_gender_composition_two_eff_sib0mean","coef_gender_composition_two_eff_se_sib0mean","coef_gender_composition_two_eff_t_sib0mean","coef_gender_composition_two_eff_p_sib0mean","coef_gender_composition_two_eff_sib2mean","coef_gender_composition_two_eff_se_sib2mean","coef_gender_composition_two_eff_t_sib2mean","coef_gender_composition_two_eff_p_sib2mean","coef_con_diffxgender_composition_two_eff_sib2mean","coef_con_diffxgender_composition_two_eff_se_sib2mean","coef_con_diffxgender_composition_two_eff_t_sib2mean","coef_con_diffxgender_composition_two_eff_p_sib2mean"
"41",30.122,59.756,30.122,-2.89062788122232,0.327223606986208,-8.97824883229581,1.10517441923888e-09,-3.20910474277029,0.375008121497266,-8.66072403478847,4.29195788673188e-10,0.0364903695184843,0.0216530559263453,1.66310455158697,0.209234812169612
"42",127.573,254.854,127.573,-2.87312078674201,0.158814558271592,-18.1523356680122,3.42806602415033e-42,-3.20548076401405,0.180428191817619,-17.8096972664418,4.09152963262352e-43,0.0382499812869715,0.0102660586285399,3.71795957450579,0.0122670538021003
"43",7.536,14.928,7.536,-4.19128820935678,1.27476992846802,-3.50854492365718,0.0202999138824087,-4.52334819281564,1.35781440948575,-3.527765459134,0.0167304710082948,0.0379615711883622,0.0483215293507247,0.742355452968911,0.389341843446921
"44",29.886,60.228,29.886,-4.18984354811033,0.633148270630631,-6.69504829921861,5.18199244666092e-07,-4.53764493858027,0.658879907189167,-6.94876174709754,2.25916475106457e-07,0.0389104392242194,0.0220100186243527,1.75551089548894,0.200595345088397
"45",127.645,254.71,127.645,-4.19035734511009,0.304712462614542,-13.7879939752453,2.09241206338907e-27,-4.54734827404684,0.315076697787768,-14.4593080497698,4.72177756152776e-30,0.0396391682236829,0.0103908547054809,3.80871087066202,0.0127703832107111
"46",7.475,15.05,7.475,-4.90428843269536,0.496616547026708,-11.0475619677572,2.18090872885391e-05,-4.88950678121091,0.596110571693387,-9.2130785892936,0.000336190949099333,-0.00373989150174023,0.0404981488936332,-0.28832477591624,0.401973535922981
"47",30.035,59.93,30.035,-4.85240369866063,0.25239295014775,-20.0741999433499,1.5077948723808e-20,-4.8587552624118,0.291037384323635,-17.4265983917813,1.80857337187982e-20,0.000427265184188135,0.0187803749096228,-0.162850795855127,0.381549942374908
"48",127.704,254.592,127.704,-4.86624492185124,0.122473762978727,-40.1835343708312,9.13175166219886e-106,-4.87194762352607,0.140961176752924,-34.9405478181633,6.13691409643222e-98,0.00059443860093974,0.00900686128052515,-0.0333624106595862,0.383781251862701
"49",7.468,15.064,7.468,-5.23435825620897,0.609809229653762,-9.61273236557799,0.00021341017192409,-5.20266546383556,0.70008884553108,-8.37917130796311,0.000323319746733913,-0.0047259913860843,0.0411900665652594,-0.344675215361316,0.389958375451974
"50",30.015,59.97,30.015,-5.18383014770502,0.310783054203053,-17.393566318589,3.73629951059139e-18,-5.18821438249719,0.34497750720222,-15.6596207037579,1.81818398548806e-16,0.000416007846736397,0.0190445684067266,-0.151304104761957,0.387683379856033
"51",127.518,254.964,127.518,-5.18988578922833,0.152129200619899,-34.4678748368455,5.57347942619113e-89,-5.19933467304313,0.168480818912904,-31.1499151068867,1.86607990588067e-82,0.00117299435747378,0.00917249001897788,0.036737191873758,0.372453204295337
"52",7.514,14.972,7.514,-6.33885063880357,1.20868620455654,-5.8665115930776,0.00220744155434141,-6.32114469641537,1.27681388377507,-5.53510834514944,0.00288956716361982,-0.000276512752101676,0.0419108064964078,-0.215446200608992,0.412694034093295
"53",30.157,59.686,30.157,-6.40601654954898,0.604546528479044,-11.0247206091362,1.42166990389623e-10,-6.4015117570276,0.626277313805824,-10.598958210964,3.32461446704245e-11,-1.26559108241063e-06,0.0193526383696048,-0.172320705777585,0.39043932753073
"54",127.602,254.796,127.602,-6.4115820398866,0.297194629047904,-21.7655451059383,6.645101755588e-51,-6.42143982134438,0.307345656173056,-21.0539850426109,2.66885240711436e-52,0.00149626598550132,0.00934365677137556,0.0745093185096828,0.375087290866411
"55",7.537,14.926,7.537,-0.546996500223606,0.689599687390189,-0.840747996541088,0.414128233114981,-0.804915055147916,0.797141682181534,-1.04124317990715,0.367025793824745,0.0382655155350858,0.0585535655339412,0.655162244307255,0.427050107363098
"56",29.893,60.214,29.893,-0.594967471234022,0.332626521318611,-1.81307572797134,0.183657804215238,-0.814475700975207,0.370576126290313,-2.20730530950763,0.0900859446868658,0.0343540027594524,0.026003204077771,1.30699751358079,0.282996262484031
"57",127.679,254.642,127.679,-0.586201422919739,0.161217124643654,-3.64739302940089,0.008606128292037,-0.807815806175542,0.17926716680159,-4.51006198587865,0.000437453872867275,0.0340833361670079,0.0124165187518259,2.73961705029577,0.0784535670045541
"58",7.459,15.082,7.459,-0.704644569584638,0.745515370030333,-0.985996136576044,0.37210578186986,-0.98699651701286,0.849059041334759,-1.17957893920063,0.327635097791629,0.0415355247366332,0.059520710140528,0.693520929326323,0.421516340908631
"59",30.161,59.678,30.161,-0.737751952551763,0.357751755486089,-2.0824836165726,0.130638394911197,-0.963305015435286,0.394758890901592,-2.44470470550211,0.0601423938145656,0.0348453111659179,0.0263428119651154,1.31421445170957,0.293686790889117
"60",127.722,254.556,127.722,-0.716430582549254,0.172018563505479,-4.17710947919289,0.0029518587071856,-0.944936845719503,0.188863654218728,-5.00711536889683,0.000123882279063766,0.0352805253715405,0.0124673263549928,2.82385771784795,0.0770434361900293
"61",7.516,14.968,7.516,-1.14146049063396,1.04354158664068,-1.13836059793336,0.348980172075345,-1.44174760750353,1.11806597869924,-1.32026040237008,0.299130176458604,0.0467880624471969,0.0598440151441788,0.78477678130988,0.392494451708904
"62",30.097,59.806,30.097,-1.16753128314508,0.495084905494083,-2.38483488487143,0.095382303793075,-1.4036236233004,0.518911740067645,-2.71333759037439,0.0498448924053031,0.0373970818158626,0.02638747760993,1.40315677108733,0.275078020153437
"63",127.524,254.952,127.524,-1.14854554161814,0.236605753839173,-4.86544444807493,0.000480304503853863,-1.38567434614965,0.247955292914484,-5.59272703311819,2.41472202054854e-05,0.0369551555875584,0.01247545994488,2.95601507857133,0.0626131231325558
