"","condition","CN","beta1","beta2","beta3","ICC","singularity_MLM0","singularity_MLM1","singularity_MLM2","singularity_MLM3","singularity_MLM4","singularity_MLM5","singularity_MLM6","ICC_MLM0mean","pseudo_ICC_MLM1mean","pseudo_ICC_MLM2mean","pseudo_ICC_MLM3mean","pseudo_ICC_MLM4mean","pseudo_ICC_MLM5mean","pseudo_ICC_MLM6mean"
"1",1,30,0.3,0.1,0,0.2,0.116,0.002,0.004004004004004,0.026,0.031,0.148,0.167,0.212985921277866,0.524906785612539,0.524695821388785,0.334959510949389,0.334607161093135,0.204727131739793,0.198445552426319
"2",10,30,0.3,0.3,0,0.2,0.139,0,0,0.291,0.311,1,1,0.207363398172842,0.7347715369635,0.734775808542189,0.136160517397221,0.140228663312259,3.96199144731581e-19,0
"3",100,30,0.3,0.5,0.5,0.2,0.173,0.042,0,0.435,0.447,0.946,0.909,0.207677244241634,0.309084781126134,0.588884068419523,0.0928381572074174,0.0952460232729835,0.00492762832561186,0.0103120817782467
"4",101,120,0.3,0.5,0.5,0.2,0.027,0,0,0.425,0.415,1,0.998,0.201769271861072,0.302715242788702,0.579628936239487,0.0486410681853908,0.0493226473793197,0,8.11363614786241e-05
"5",102,510,0.3,0.5,0.5,0.2,0,0,0,0.331,0.332,1,1,0.199054381215835,0.302932445686785,0.577593567872837,0.0288065566623782,0.0289938573981281,0,0
"6",103,30,0.3,0.5,0.5,0.4,0.012,0,0,0.425,0.417,0.942,0.876,0.396677878284367,0.542237268975778,0.687517425755515,0.100447151131246,0.104493117545939,0.00499442480163376,0.0167497431565768
"7",104,120,0.3,0.5,0.5,0.4,0,0,0,0.423,0.42,0.999,0.997,0.396430585005114,0.533879021238017,0.678038241261537,0.0451687137355514,0.0454671953201012,6.94195622688018e-06,0.000194978486383593
"8",105,510,0.3,0.5,0.5,0.4,0,0,0,0.307,0.308,1,1,0.400141439329793,0.534462779894242,0.675709597235062,0.0298954273110857,0.0300248737804192,0,0
"9",106,30,0.3,0.5,0.5,0.8,0,0,0,0.43,0.426,0.947,0.912,0.792785493143403,0.870899295133322,0.887461793844892,0.0925977075672328,0.0959112174229786,0.00405260624857799,0.00974302477900176
"10",107,120,0.3,0.5,0.5,0.8,0,0,0,0.389,0.383,1,0.998,0.799130591883124,0.872384212798712,0.886591765626501,0.0497444092410868,0.0501386139600203,6.78479908647846e-18,5.14931361161333e-05
"11",108,510,0.3,0.5,0.5,0.8,0,0,0,0.333,0.336,1,1,0.798995291522167,0.87163658513869,0.885327581758339,0.0295603812541604,0.0295809978129934,1.41768470520081e-20,4.36162695101444e-20
"12",109,30,0.3,0,0,0.2,0.14,0.004,0.003,0.003,0.003003003003003,0.003,0.005,0.2045957624232,0.484189817034607,0.484946802539521,0.485663878615325,0.48611346620485,0.484094769249073,0.484856905614271
"13",11,120,0.3,0.3,0,0.2,0.011,0,0,0.145,0.143,1,1,0.202240692652423,0.741049641162462,0.741225805817243,0.103104749270546,0.103662262753972,0,0
"14",110,120,0.3,0,0,0.2,0.016,0,0,0,0,0,0,0.199915094736962,0.499010270499592,0.498974267623135,0.499273345362577,0.499167093387334,0.49905865937499,0.498603100944866
"15",111,510,0.3,0,0,0.2,0,0,0,0,0,0,0,0.200350582043693,0.500852443327658,0.500887553279312,0.500859696810981,0.500863395534244,0.500849186375313,0.500947824872096
