"","condition","ICC_MLM0mean","pseudo_ICC_MLM1mean","pseudo_ICC_MLM2mean","pseudo_ICC_MLM3mean","pseudo_ICC_MLM4mean","pseudo_ICC_MLM5mean","pseudo_ICC_MLM6mean","CN","beta1","beta2","beta3","ICC"
"68",68,0.397448169159563,0.495145202965456,0.645321593653806,0.0695482069187463,0.0703992953518002,0.000164811064429775,0.00135917000583208,120,0.3,0.3,0.3,0.4
"69",69,0.398055316159884,0.496263979193581,0.644677541424873,0.0517174425880852,0.0518130159095146,0,9.97942053293685e-21,510,0.3,0.3,0.3,0.4
"70",70,0.789377530326356,0.849508339873403,0.867927454780134,0.101710469462601,0.10515068714294,0.00838261101635907,0.0164000671259676,30,0.3,0.3,0.3,0.8
"71",71,0.797204932311909,0.85013908253315,0.866555597188575,0.068093124698465,0.068659354126694,0.000333050631368286,0.000718911591155308,120,0.3,0.3,0.3,0.8
"72",72,0.799357852583091,0.850126069312835,0.866629591407741,0.0557363365678787,0.0557903834163146,5.54993705835176e-19,2.20749273895276e-18,510,0.3,0.3,0.3,0.8
"73",73,0.212484176120726,0.461564895774625,0.739123583857267,0.104749836542352,0.111376851378541,0.000109987367490146,6.38267083293785e-05,30,0.3,0.5,0.3,0.2
"74",74,0.205369866601688,0.458542200546004,0.732871432822672,0.0591093684569709,0.0603371867649036,0,0,120,0.3,0.5,0.3,0.2
"75",75,0.201456810894022,0.455912253181319,0.733447281227131,0.0358547866607337,0.0358709082776339,0,0,510,0.3,0.5,0.3,0.2
"76",76,0.395805695344187,0.685903296788103,0.817238341207451,0.0998472297056321,0.105549824348847,0.000195212452893281,0.000719168238074352,30,0.3,0.5,0.3,0.4
"77",77,0.398762240734941,0.686273468595585,0.811950941319111,0.0565542206350199,0.0567665768823032,0,0,120,0.3,0.5,0.3,0.4
"78",78,0.398304687846688,0.68563560253625,0.811675220731991,0.0358435392401761,0.0360246198408247,0,0,510,0.3,0.5,0.3,0.4
"79",79,0.796345447578631,0.930326971617183,0.941242142376334,0.100818149177902,0.10401441571252,1.1681520573048e-18,5.84347584144391e-05,30,0.3,0.5,0.3,0.8
"80",80,0.798730969767966,0.928524633678885,0.93855128292266,0.0563798285933861,0.0567001510372363,0,0,120,0.3,0.5,0.3,0.8
"81",81,0.800664453352899,0.928449093839755,0.938475072880501,0.0391642023036862,0.0392358374343397,0,0,510,0.3,0.5,0.3,0.8
"82",82,0.208467769360265,0.112548412242513,0.177357162275098,0.094507312811997,0.0983496162270035,0.0843162862551043,0.251523565163546,30,0.3,0.1,0.5,0.2
"83",83,0.197465104022252,0.0782960400537562,0.138336289060813,0.0566677504003709,0.0574616065371099,0.0462737508417011,0.214004586314405,120,0.3,0.1,0.5,0.2
"84",84,0.200152707695601,0.0674716947640431,0.12917389566017,0.0421149730793396,0.0423839361159101,0.0291811945425155,0.20890701148955,510,0.3,0.1,0.5,0.2
"85",85,0.401491885434613,0.150524811458977,0.185236104306242,0.099298355140152,0.102974174476072,0.0877799734131132,0.248353376251237,30,0.3,0.1,0.5,0.4
"86",86,0.401495608029226,0.122063294641523,0.155815346780048,0.0605345409780978,0.0610557243547288,0.0500018479767557,0.178892322790911,120,0.3,0.1,0.5,0.4
"87",87,0.398971876697274,0.113809745882944,0.15422956630067,0.0415200010237878,0.0416746784607621,0.0287352181150845,0.166269748242517,510,0.3,0.1,0.5,0.4
"88",88,0.791093403107472,0.365744564893737,0.383667408087638,0.0937976678171199,0.094065736910549,0.0846588312400997,0.118282329415005,30,0.3,0.1,0.5,0.8
"89",89,0.797405196559395,0.372959260588464,0.389157683362774,0.0564343147844282,0.0568798417974867,0.0458449766068655,0.0708206519339193,120,0.3,0.1,0.5,0.8
"90",90,0.799537987885191,0.370742120931045,0.386035854780947,0.0414621773675638,0.0415160542831551,0.0286293961712634,0.0553230654956818,510,0.3,0.1,0.5,0.8
"91",91,0.205072064374244,0.199826172139017,0.400680842492186,0.0851088704311875,0.0866783177056982,0.0306218511434144,0.0871611641524594,30,0.3,0.3,0.5,0.2
"92",92,0.198841012875075,0.191475273855987,0.381418857057083,0.0541493236933924,0.0548916875131915,0.00607655595006339,0.0355396564170065,120,0.3,0.3,0.5,0.2
"93",93,0.199217241599965,0.187350905151675,0.376776322229338,0.0341444496390098,0.0343261401888502,0.000161756565922803,0.0100713790934922,510,0.3,0.3,0.5,0.2
"94",94,0.396901489130095,0.368093121891022,0.495500685708651,0.0958461674433849,0.0989053865281297,0.0308733406540193,0.101192417934962,30,0.3,0.3,0.5,0.4
"95",95,0.401405785452262,0.370359283180837,0.482263953093058,0.0558331268278421,0.0567156599136071,0.00514490880744411,0.0407196649373913,120,0.3,0.3,0.5,0.4
"96",96,0.400511894457841,0.368363892162511,0.482956232091799,0.0357143334265843,0.0358912069651183,5.26091170129928e-05,0.0139727977604294,510,0.3,0.3,0.5,0.4
"97",97,0.791888598658591,0.774676237205775,0.792496383180516,0.0907847663277345,0.0919567207680934,0.032966912334366,0.0545229585850624,30,0.3,0.3,0.5,0.8
"98",98,0.79788377177014,0.773157874285985,0.789707960485252,0.0540836017884529,0.0545031372733927,0.00525304963926034,0.011504033819725,120,0.3,0.3,0.5,0.8
"99",99,0.798944338085081,0.772287804973891,0.788398473700748,0.0322350990005067,0.0322681963446538,0.000129166393086956,0.000727998412673354,510,0.3,0.3,0.5,0.8
"100",100,0.207677244241634,0.309084781126134,0.588884068419523,0.0928381572074174,0.0952460232729835,0.00492762832561186,0.0103120817782467,30,0.3,0.5,0.5,0.2
"101",101,0.201769271861072,0.302715242788702,0.579628936239487,0.0486410681853908,0.0493226473793197,0,8.11363614786241e-05,120,0.3,0.5,0.5,0.2
"102",102,0.199054381215835,0.302932445686785,0.577593567872837,0.0288065566623782,0.0289938573981281,0,0,510,0.3,0.5,0.5,0.2
"103",103,0.396677878284367,0.542237268975778,0.687517425755515,0.100447151131246,0.104493117545939,0.00499442480163376,0.0167497431565768,30,0.3,0.5,0.5,0.4
"104",104,0.396430585005114,0.533879021238017,0.678038241261537,0.0451687137355514,0.0454671953201012,6.94195622688018e-06,0.000194978486383593,120,0.3,0.5,0.5,0.4
"105",105,0.400141439329793,0.534462779894242,0.675709597235062,0.0298954273110857,0.0300248737804192,0,0,510,0.3,0.5,0.5,0.4
"106",106,0.792785493143403,0.870899295133322,0.887461793844892,0.0925977075672328,0.0959112174229786,0.00405260624857799,0.00974302477900176,30,0.3,0.5,0.5,0.8
"107",107,0.799130591883124,0.872384212798712,0.886591765626501,0.0497444092410868,0.0501386139600203,6.78479908647846e-18,5.14931361161333e-05,120,0.3,0.5,0.5,0.8
"108",108,0.798995291522167,0.87163658513869,0.885327581758339,0.0295603812541604,0.0295809978129934,1.41768470520081e-20,4.36162695101444e-20,510,0.3,0.5,0.5,0.8
"109",109,0.2045957624232,0.484189817034607,0.484946802539521,0.485663878615325,0.48611346620485,0.484094769249073,0.484856905614271,30,0.3,0,0,0.2
"110",110,0.199915094736962,0.499010270499592,0.498974267623135,0.499273345362577,0.499167093387334,0.49905865937499,0.498603100944866,120,0.3,0,0,0.2
"111",111,0.200350582043693,0.500852443327658,0.500887553279312,0.500859696810981,0.500863395534244,0.500849186375313,0.500947824872096,510,0.3,0,0,0.2
"112",112,0.383916860735195,0.486466231899299,0.486227945338904,0.485506236394763,0.485792246790863,0.484057479838162,0.483457823238942,30,0.3,0,0,0.4
"113",113,0.399944060127939,0.497301093699266,0.497554397465707,0.497012776220418,0.496958352914866,0.497012976736927,0.497195310222163,120,0.3,0,0,0.4
"114",114,0.39971259019643,0.49957784070156,0.499588804284504,0.499524050358029,0.499555648975588,0.499539604894143,0.499537574130507,510,0.3,0,0,0.4
"115",115,0.788154993388383,0.476895592734282,0.476737179076169,0.476911923777132,0.475892574465939,0.477535124524293,0.475029796327527,30,0.3,0,0,0.8
"116",116,0.797038900914712,0.493954357416274,0.494168297091882,0.49425347981222,0.493926340685745,0.494168246374831,0.494200576429614,120,0.3,0,0,0.8
"117",117,0.800082525132926,0.500639750804129,0.500648553940227,0.500684883576922,0.500680934831677,0.500735787682597,0.500672515323496,510,0.3,0,0,0.8
