"","condition","singularity_MLM0","singularity_MLM1","singularity_MLM2","singularity_MLM3","singularity_MLM4","singularity_MLM5","singularity_MLM6","CN","beta1","beta2","beta3","ICC"
"73",73,0.157,0.004,0,0.383,0.382,0.997,0.998,30,0.3,0.5,0.3,0.2
"74",74,0.015,0,0,0.345,0.346,1,1,120,0.3,0.5,0.3,0.2
"75",75,0,0,0,0.25,0.248,1,1,510,0.3,0.5,0.3,0.2
"76",76,0.014,0,0,0.413,0.418,0.998,0.993,30,0.3,0.5,0.3,0.4
"77",77,0,0,0,0.364,0.36,1,1,120,0.3,0.5,0.3,0.4
"78",78,0,0,0,0.246,0.252,1,1,510,0.3,0.5,0.3,0.4
"79",79,0,0,0,0.402,0.41,1,0.997,30,0.3,0.5,0.3,0.8
"80",80,0,0,0,0.369,0.373,1,1,120,0.3,0.5,0.3,0.8
"81",81,0,0,0,0.231,0.234,1,1,510,0.3,0.5,0.3,0.8
"82",82,0.139,0.361,0.286,0.424,0.417,0.463,0.166,30,0.3,0.1,0.5,0.2
"83",83,0.014,0.247,0.129,0.352,0.343,0.424,0.044,120,0.3,0.1,0.5,0.2
"84",84,0,0.083,0.006,0.207,0.206,0.334,0,510,0.3,0.1,0.5,0.2
"85",85,0.011,0.243,0.202,0.395,0.396,0.452,0.212,30,0.3,0.1,0.5,0.4
"86",86,0,0.1,0.07,0.332,0.335,0.403,0.068,120,0.3,0.1,0.5,0.4
"87",87,0,0.002,0,0.22,0.21,0.332,0.003,510,0.3,0.1,0.5,0.4
"88",88,0,0.017,0.015,0.42,0.409,0.45,0.378,30,0.3,0.1,0.5,0.8
"89",89,0,0,0,0.352,0.355,0.417,0.289,120,0.3,0.1,0.5,0.8
"90",90,0,0,0,0.205,0.204,0.336,0.125,510,0.3,0.1,0.5,0.8
"91",91,0.16,0.146,0.04,0.443,0.442,0.735,0.537,30,0.3,0.3,0.5,0.2
"92",92,0.021,0.017,0,0.368,0.361,0.878,0.601,120,0.3,0.3,0.5,0.2
"93",93,0,0,0,0.275,0.275,0.995,0.717,510,0.3,0.3,0.5,0.2
"94",94,0.017,0.016,0.003,0.433,0.429,0.728,0.5,30,0.3,0.3,0.5,0.4
"95",95,0,0,0,0.337,0.342,0.885,0.536,120,0.3,0.3,0.5,0.4
"96",96,0,0,0,0.275,0.276,0.996,0.631,510,0.3,0.3,0.5,0.4
"97",97,0,0,0,0.449,0.446,0.721,0.635,30,0.3,0.3,0.5,0.8
"98",98,0,0,0,0.369,0.37,0.892,0.797,120,0.3,0.3,0.5,0.8
"99",99,0,0,0,0.298,0.294,0.993,0.97,510,0.3,0.3,0.5,0.8
"100",100,0.173,0.042,0,0.435,0.447,0.946,0.909,30,0.3,0.5,0.5,0.2
"101",101,0.027,0,0,0.425,0.415,1,0.998,120,0.3,0.5,0.5,0.2
"102",102,0,0,0,0.331,0.332,1,1,510,0.3,0.5,0.5,0.2
"103",103,0.012,0,0,0.425,0.417,0.942,0.876,30,0.3,0.5,0.5,0.4
"104",104,0,0,0,0.423,0.42,0.999,0.997,120,0.3,0.5,0.5,0.4
"105",105,0,0,0,0.307,0.308,1,1,510,0.3,0.5,0.5,0.4
"106",106,0,0,0,0.43,0.426,0.947,0.912,30,0.3,0.5,0.5,0.8
"107",107,0,0,0,0.389,0.383,1,0.998,120,0.3,0.5,0.5,0.8
"108",108,0,0,0,0.333,0.336,1,1,510,0.3,0.5,0.5,0.8
"109",109,0.14,0.004,0.003,0.003,0.003003003003003,0.003,0.005,30,0.3,0,0,0.2
"110",110,0.016,0,0,0,0,0,0,120,0.3,0,0,0.2
"111",111,0,0,0,0,0,0,0,510,0.3,0,0,0.2
"112",112,0.01001001001001,0.003003003003003,0.003,0.002002002002002,0.002,0.002002002002002,0.004,30,0.3,0,0,0.4
"113",113,0,0,0,0,0,0,0,120,0.3,0,0,0.4
"114",114,0,0,0,0,0,0,0,510,0.3,0,0,0.4
"115",115,0,0.003,0.003,0.004,0.006,0.004,0.007,30,0.3,0,0,0.8
"116",116,0,0,0,0,0,0,0,120,0.3,0,0,0.8
"117",117,0,0,0,0,0,0,0,510,0.3,0,0,0.8
