"","condition","ResSE_sib0mean","ResSE_sib1mean","ResSE_sib2mean","ResSE_sib3mean","ResSE_df_sib0mean","ResSE_df_sib1mean","ResSE_df_sib2mean","ResSE_df_sib3mean","ResSD_MLM0mean","ResSD_MLM1mean","ResSD_MLM2mean","ResSD_MLM3mean","ResSD_MLM4mean","ResSD_MLM5mean","ResSD_MLM6mean","RMSE_sib0mean","RMSE_sib1mean","RMSE_sib2mean","RMSE_sib3mean","RMSE_MLM0mean","RMSE_MLM1mean","RMSE_MLM2mean","RMSE_MLM3mean","RMSE_MLM4mean","RMSE_MLM5mean","RMSE_MLM6mean"
"39",39,2.52462680072283,2.52292547080335,2.48990375337705,2.38545858238494,505,504,504,502,4.47010827357689,1.41156660379911,1.08634500347079,3.31099053923571,3.31094010330637,2.73684112137969,2.66198582620377,2.5122206971392,2.5080408248464,2.47521392751227,2.36667515164188,4.08397554794478,1.11485361172421,0.827506273992287,3.17581578083994,3.17427345177589,2.73146949476594,2.6541449083581
"40",40,2.45407581743441,2.44938727347724,2.41148994830288,2.33498106326026,25,24,24,22,4.41915808031097,1.38941032726152,1.16639885550463,3.22970983090535,3.21838994612452,2.75016396903341,2.71623853260267,2.24025447172793,2.19079857868719,2.15690218058508,1.99955832162379,3.76262613114749,1.01497728587842,0.825583513740036,2.98420893392885,2.94659129480784,2.65680810448058,2.57681908971015
"41",41,2.51686803555635,2.51409486917593,2.48293097588869,2.382248611963,115,114,114,112,4.47716208944595,1.40497810208625,1.17719932643923,3.29918779826759,3.29783630305724,2.74935485189786,2.69813635910035,2.46387540517408,2.45043656531972,2.42006175943429,2.30147080926952,3.7980835660594,1.04580752267306,0.859732234118212,3.13976536721564,3.1317501647617,2.72634729383964,2.6641961859052
"42",42,2.54115879532064,2.53989585910323,2.50657190224227,2.40180067954468,505,504,504,502,4.46408337862657,1.41158628629963,1.18344726352684,3.31579912381202,3.31563025904488,2.73946020406249,2.68596207654168,2.52867145294268,2.52491109198752,2.49178373835781,2.38288856886876,3.77356586916131,1.05591274473271,0.871256794443446,3.18341592281036,3.18165935097678,2.73408343694784,2.67805053630303
"43",43,2.46110053173153,2.44987596751537,2.41769171500094,2.3291153108196,25,24,24,22,4.42844838086567,1.39597448241172,1.32532707511696,3.23791081619958,3.230586167326,2.76280575598696,2.76568265431107,2.24666712919553,2.19123567992297,2.16244920935206,1.99453519133385,3.30990278668388,0.969463778948209,0.903517782831462,2.98729953702668,2.95302479422678,2.66903072888809,2.62340845348951
"44",44,2.5701597902681,2.56801815553397,2.53342472079022,2.43442590316721,115,114,114,112,4.45715868767668,1.40974508647435,1.34209682929387,3.29984948248423,3.29960332251594,2.74851962576458,2.73618903951742,2.51604510254314,2.50299448357252,2.46927697415973,2.35187886156523,3.32344074533842,1.00140271628576,0.948384386449352,3.14201569306081,3.13574225137518,2.72551905716927,2.70177019719958
"45",45,2.58072398903735,2.57941747913955,2.54364983780833,2.4399440290702,505,504,504,502,4.47254776221166,1.41379823057174,1.3454465127223,3.31395387431566,3.31382164105401,2.74033024871043,2.72409720786291,2.56804222192643,2.56419954408896,2.52864292313233,2.42073157238559,3.33428720967523,1.00994759423816,0.959157795835116,3.17796445309538,3.17639854505153,2.73495177395008,2.71607334004205
"46",46,2.08179453887037,2.06128808020234,2.05394233734002,1.91632644781291,25,24,24,22,5.94488432893471,1.39344947931556,1.07415702179716,5.05800487672118,5.02832514318208,4.00793520133997,3.98912184847288,1.90040971505061,1.84367210741699,1.83710187526284,1.64104392792027,5.42682116595499,1.01983515793443,0.755489928913493,4.72923319466786,4.65216429356967,3.87203326512881,3.78441327153462
"47",47,2.21679554595567,2.20907946504949,2.20630660943749,2.07982429070489,115,114,114,112,5.96949753984796,1.40873406554338,1.08488605344719,5.13397892502724,5.13003285144612,3.94699832272478,3.90281910854691,2.17012093872942,2.1531443237178,2.15044167837799,2.00930115749872,5.44182008772487,1.05005580699299,0.788243046175726,4.96075649507397,4.9441918926765,3.91396846737413,3.85372508998604
"48",48,2.24269215896012,2.24010261663639,2.2401299776182,2.12117111283843,505,504,504,502,5.99365002450998,1.41263278243955,1.08960079127405,5.17815097626713,5.17818153040182,3.93764668537965,3.88802838214978,2.23167149197589,2.22688655665296,2.22691375621164,2.1044687181767,5.47128983841235,1.05875772744163,0.798508570897896,5.06573507240894,5.06347944410687,3.92991822516122,3.87657613817989
"49",49,2.09232696588013,2.06958631140598,2.05644171440864,1.92430026195867,25,24,24,22,5.96695266119404,1.3851926046573,1.15899590568323,5.06434229904559,5.03695984477195,4.01252089459924,4.0136465930204,1.91002446148148,1.85109427104272,1.83933738607357,1.64787229440302,5.07441894332595,0.975177167717246,0.795801852448032,4.74060182597567,4.66422855746417,3.87646346570631,3.8076794870758
"50",50,2.24243383837826,2.23430444433978,2.23291235038089,2.10800227267683,115,114,114,112,5.99474705617329,1.41121768114967,1.1808026389359,5.13551898585992,5.13351059546901,3.9501361089387,3.9212031569221,2.19521941717099,2.17773059226725,2.17637374691466,2.03652367434557,5.07398606384586,1.01652345601926,0.840805368626919,4.96552125236985,4.95194358656415,3.9170799955012,3.87187788326407
"51",51,2.28732675660609,2.28463487959712,2.28491935015931,2.16827456765893,505,504,504,502,5.99417224118765,1.41494539496149,1.18490887783805,5.18034810635897,5.18003917846233,3.94005454491597,3.90416184671218,2.27608675366231,2.27115609010562,2.27143888236076,2.1512012738804,5.06721222119219,1.02492837520981,0.851237601231681,5.06960791534886,5.06673105413966,3.93232135876652,3.89266208138852
"52",52,2.1646151846069,2.14447811067345,2.1358897680886,2.01432872867701,25,24,24,22,5.96022836103128,1.38312773696861,1.30831961057838,5.04253002176807,5.02757476875902,4.00861266539919,4.0456184091817,1.97601427487902,1.91807953269046,1.91039788555695,1.7249680673162,4.45039219107979,0.95106466539456,0.883251115732695,4.71404623914006,4.65710023941624,3.87268775758975,3.83801061507637
"53",53,2.27653574985639,2.26850578057472,2.26684222086225,2.1422983637455,115,114,114,112,5.97825890776879,1.41098343541103,1.33934305561956,5.13526920267624,5.13316990074779,3.95017723745135,3.94910732213163,2.22860331325667,2.21106593132721,2.20944449388743,2.06965684611875,4.45739071971943,0.994425676647897,0.939536424861205,4.96246553265559,4.94930573534075,3.91712077983615,3.89943103871203
"54",54,2.3270042647888,2.32476683381865,2.32455133425991,2.20864776928182,505,504,504,502,5.99772851794059,1.41598741852137,1.34469356735698,5.1827296233525,5.1826763212788,3.94118367442991,3.93125937888243,2.31556928519489,2.31105127556919,2.31083704740538,2.19125657133083,4.47099517210281,1.00406252255605,0.952146204034336,5.07495424679907,5.07254492279831,3.93344827212619,3.91967979738489
"55",55,3.40035945172855,3.16652005346283,3.35392257512896,2.47423751974324,25,24,24,22,4.37221691524279,3.07298923243821,1.8157968633061,3.20227339562247,3.18613063028125,3.18522394137414,2.51834413480086,3.10408929222938,2.83222163666366,2.9998395477038,2.11881042639743,3.99561301946876,2.81769170363977,1.56594013488981,2.9688421680969,2.92616489655921,2.95758491274782,2.21136371725228
"56",56,3.45787406398665,3.24485480258442,3.4241545677145,2.48841961637597,115,114,114,112,4.42703213149228,3.13716625289195,1.86933709470685,3.28126143227863,3.27613723581778,3.2673782025267,2.58582554743266,3.38506856143642,3.16269324395561,3.33745303763515,2.40404174423416,4.0395360847035,2.94523002974002,1.64166874076782,3.12661714877318,3.11410719487984,3.15038305947971,2.35973669628099
"57",57,3.49837520730098,3.28048297223315,3.47072682004434,2.50118683917666,505,504,504,502,4.4696465444579,3.15916270252467,1.88324724649557,3.3117903905416,3.31048419133722,3.30637233981778,2.59614009858904,3.48118407030451,3.26112892147955,3.45025037691216,2.48149214813651,4.08272220811661,2.97965975858559,1.66035602140878,3.17957367314479,3.17629656344602,3.22718256888473,2.38265272900652
"58",58,3.44324251797463,3.21733112927019,3.39571194792435,2.50465031707712,25,24,24,22,4.44273691139702,3.08697307368315,2.37959101449972,3.21669093434244,3.20361568843232,3.19436558292749,2.64351074531889,3.14323599675932,2.87766844446972,3.03721709902683,2.1448543900722,3.78820945980399,2.77675821770664,2.05376038394897,2.9858830114919,2.94612457034366,2.97249545865808,2.30151092370343
"59",59,3.50514902278237,3.2884093652351,3.47239893213959,2.53690699300401,115,114,114,112,4.45900783604728,3.15276620819462,2.42587991094941,3.29258224894257,3.28898099395868,3.27670578127718,2.74326803204154,3.43134814646506,3.20514498044903,3.38447582746989,2.45088500037758,3.77798932888906,2.89504055769414,2.13953035151221,3.14169235513141,3.13094147065467,3.16159878978829,2.48620647360399
"60",60,3.51834667408286,3.29992016202766,3.48880029448362,2.5227286535653,505,504,504,502,4.47491975532823,3.16082227905629,2.44258190762568,3.31618763929899,3.31523725236337,3.31029727995052,2.75534696343443,3.50105739660657,3.28045143658713,3.46821722225305,2.50286433929981,3.78520605100685,2.90630902887022,2.16271711097995,3.18645586094634,3.18372199384385,3.23305452791634,2.5109157567641
"61",61,3.46833765616799,3.24377493858279,3.39985112990968,2.54439535805319,25,24,24,22,4.41473150363391,3.11024861699931,2.92760178746586,3.2174796851218,3.21361367593533,3.19777778033727,3.0102513319222,3.16614461887968,2.90132050655253,3.04091929594301,2.17889000975128,3.30421126662327,2.52499957381445,2.32472729053539,2.98818474309253,2.95890455488293,2.97487264007004,2.69846136163484
"62",62,3.52367801087304,3.30543067729973,3.48423647432284,2.54243751441267,115,114,114,112,4.46446936714006,3.15515608186105,2.99160252457035,3.29350777484748,3.29245406497239,3.27784621979461,3.12592025562764,3.44948700690367,3.2217353032663,3.3960136363907,2.45622799166663,3.33070051867584,2.59324493275733,2.43009468767375,3.14108852352768,3.13308927238068,3.16115426081555,2.94571157824227
"63",63,3.52648030001924,3.30675644990963,3.4943673519481,2.53973631307483,505,504,504,502,4.46260511719911,3.15434766041106,2.98956862653407,3.30758868497902,3.30733629640644,3.30246941025998,3.14535195080468,3.50915105362325,3.28724739203521,3.47375143543404,2.51973807814652,3.326759086963,2.59783711120584,2.43860642463906,3.17458034733039,3.17279506101242,3.22184553012823,2.99819787271717
"64",64,3.51592457898459,3.46321793764815,3.47524615301684,2.80951267557027,25,24,24,22,5.18926018125931,3.08871840650816,1.75629781570415,4.19564345285626,4.172356920538,3.89854623526797,3.44189040689087,3.20958533732785,3.09759629179116,3.10835465467611,2.40592291669386,4.74092423597811,2.68786843622623,1.37518978115178,3.9160313438718,3.85467938953163,3.75249119560396,3.24433188987566
"65",65,3.61299023151254,3.56991657956547,3.58929510963742,2.88743316883891,115,114,114,112,5.28754204663788,3.15043876713624,1.79224632990663,4.32171664198184,4.31710719991238,3.94171998656832,3.49250448524352,3.53691875966401,3.47952427291485,3.49841212764645,2.78952545860589,4.84620039850163,2.77095469188632,1.42801714941504,4.16543240868578,4.15094490622164,3.9084903875263,3.44774765959847
"66",66,3.63261204728291,3.59099713343425,3.6164910102703,2.88852347654652,505,504,504,502,5.2910709019756,3.15552212553725,1.79606621407714,4.34818409498861,4.34744140494908,3.93578530892814,3.48118015503197,3.61476126580312,3.56981112473833,3.5951545939087,2.86577884326213,4.8339977531757,2.77956449872976,1.43834049773836,4.23324137280056,4.23033556285077,3.92806050205269,3.47092628841372
"67",67,3.64664643680271,3.60113204686971,3.60450431761935,2.98945039414215,25,24,24,22,5.21994462411868,3.08864380019968,2.24394871026959,4.21274714640139,4.19714806154107,3.90713588906193,3.58661900283946,3.3289175211378,3.22095042110146,3.22396667175535,2.5600123730092,4.45351931794209,2.48136445274709,1.68906693837471,3.93501404305841,3.88438442120255,3.7583474480964,3.37527282909595
"68",68,3.70753426458406,3.66591099824765,3.68083085147968,2.99931465513725,115,114,114,112,5.28037722152929,3.1503790411483,2.3173653171754,4.31501544581617,4.31043811959231,3.9351668162965,3.63282670170824,3.62947216909987,3.57308805862932,3.58763013274005,2.89761324319741,4.47528854269335,2.56600622531933,1.79260756005708,4.15833587050489,4.14388183037124,3.90193249558783,3.58502945493509
"69",69,3.72847529146499,3.68826780665861,3.70875287464443,3.0115187612493,505,504,504,502,5.29393567171216,3.15965255278934,2.32957611806317,4.35005039504788,4.34919277443549,3.93745414985816,3.63868877381731,3.71015343468138,3.66650792467563,3.68687213574835,2.98780564608516,4.47906048786897,2.58067113898284,1.81322648388129,4.23950178126397,4.23646230975016,3.92972606753121,3.62797096327879
"70",70,3.78777532386963,3.75585091260833,3.74479235672139,3.17752028908719,25,24,24,22,5.24138806396332,3.12433234253835,2.90161702829084,4.26163158437439,4.25291957790022,3.95778216078818,3.86513903526932,3.45774997940805,3.35933518157874,3.34944410850026,2.72106580911681,3.92243024716345,2.24558076394623,2.04233090708449,3.99379972895011,3.94851023634259,3.81129946266322,3.64493419427317
"71",71,3.80900739637037,3.7691368996727,3.78180773443866,3.12798717195614,115,114,114,112,5.27591693133618,3.14987776834775,2.94465352682134,4.31463281756265,4.31272495874501,3.93804313619528,3.85976137632381,3.72880878514895,3.67370022185407,3.68605022391815,3.02192270440427,3.93651579648209,2.30283450620083,2.13504261239651,4.16081235770261,4.14963009937594,3.90447196336755,3.80996218014193
"72",72,3.82662851598326,3.78570293794987,3.80180326898056,3.12292624487945,505,504,504,502,5.29341615957053,3.15785647881759,2.95015586267845,4.34990401513027,4.34965975552194,3.93942609467337,3.85789498416203,3.8078243308531,3.76336821241728,3.77937355541524,3.09833589178359,3.94643911710416,2.31858512235812,2.15453181392477,4.23127814436073,4.22895401526771,3.93169414198977,3.84653149855281
"73",73,3.65422374991875,3.62653152896564,3.61420949684573,2.96666246798386,25,24,24,22,6.53743375778895,3.10711753904997,1.69221362422895,5.7167889203392,5.68999451397869,4.89410698282343,4.53731374666057,3.33583463000269,3.24366840852537,3.23264724794895,2.54049795890996,5.96699160025492,2.52920215844179,1.23699215960983,5.35175432931409,5.26858297015645,4.72794268146413,4.30435492399762
"74",74,3.73013584595803,3.72355904249353,3.71966166388776,3.07326781144961,115,114,114,112,6.61116856356979,3.1447325435028,1.7384198581618,5.8342497021514,5.82887467111676,4.85501323917202,4.48398611576147,3.65159787441245,3.62927642179382,3.62547772701839,2.96905877984356,6.03584370325783,2.59333093692596,1.30885797738567,5.64945705484981,5.62973515008129,4.81438479905031,4.42758152936602
"75",75,3.75520554442571,3.75387271573011,3.75288797596102,3.09714162036305,505,504,504,502,6.62839149106316,3.15947114049811,1.74189247486076,5.89391347547911,5.89316571635807,4.84961815745263,4.47872281442027,3.73675233425278,3.7317257807581,3.73074685071387,3.07275429896617,6.05049680565075,2.61590016341043,1.32022329923295,5.78652860405074,5.7829321253725,4.84009976131425,4.465530671436
"76",76,3.8387973261049,3.82479486785207,3.81564292556522,3.2229949470163,25,24,24,22,6.59603767375481,3.12169983124421,2.1779523508215,5.7107079002363,5.6849861316045,4.88361953307823,4.64798917195624,3.50432648199695,3.42100052980382,3.412814783772,2.76000797961912,5.61473277763261,2.35254563039689,1.551998166546,5.35701844721611,5.27704766074809,4.7177236004252,4.40852413940011
"77",77,3.88489746838017,3.87997860855018,3.87758387574727,3.24783536656756,115,114,114,112,6.62747746842838,3.15228224601965,2.24426735367021,5.83841527962122,5.83581685077132,4.8581903058348,4.60051734508627,3.80310099247976,3.78173535597966,3.77940125916559,3.13770706043525,5.61139126125426,2.41436998810737,1.65087562961605,5.65893444682152,5.64443338631187,4.81753527891377,4.54264689871209
"78",78,3.90277058348922,3.90162890476052,3.90069061894929,3.27423328023921,505,504,504,502,6.63422112974607,3.15992290559362,2.25077020463792,5.89312100230737,5.89237466202819,4.85093286698384,4.59093890041532,3.88359223360081,3.87861024425119,3.87767749409778,3.24845151462392,5.61221087138234,2.43078331720955,1.66836961401032,5.78596618128405,5.78195800038277,4.84141189045136,4.5774162233228
