"","condition","f_p_sib0","coef_intercept_p_sib0","coef_y_mean_p_sib0","coef_con_mean_p_sib0","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","CN","beta1","beta2","beta3","ICC"
"91",91,0.827,1,0.147,0.101,0.597,0.208,30,0.3,0.3,0.5,0.2
"92",92,1,1,0.46,0.256,0.989,0.708,120,0.3,0.3,0.5,0.2
"93",93,1,1,0.931,0.774,1,0.998,510,0.3,0.3,0.5,0.2
"94",94,0.776,1,0.139,0.051,0.576,0.228,30,0.3,0.3,0.5,0.4
"95",95,1,1,0.439,0.059,0.994,0.681,120,0.3,0.3,0.5,0.4
"96",96,1,1,0.95,0.049,1,0.999,510,0.3,0.3,0.5,0.4
"97",97,0.697,1,0.129,0.092,0.526,0.191,30,0.3,0.3,0.5,0.8
"98",98,1,1,0.419,0.265,0.979,0.606,120,0.3,0.3,0.5,0.8
"99",99,1,1,0.944,0.746,1,0.998,510,0.3,0.3,0.5,0.8
"100",100,0.952,1,0.181,0.214,0.454,0.629,30,0.3,0.5,0.5,0.2
"101",101,1,1,0.487,0.72,0.96,0.997,120,0.3,0.5,0.5,0.2
"102",102,1,1,0.952,0.997,1,1,510,0.3,0.5,0.5,0.2
"103",103,0.936,1,0.163,0.08,0.437,0.53,30,0.3,0.5,0.5,0.4
"104",104,1,1,0.505,0.173,0.934,0.984,120,0.3,0.5,0.5,0.4
"105",105,1,1,0.971,0.496,1,1,510,0.3,0.5,0.5,0.4
"106",106,0.876,1,0.155,0.074,0.386,0.312,30,0.3,0.5,0.5,0.8
"107",107,1,1,0.542,0.217,0.907,0.871,120,0.3,0.5,0.5,0.8
"108",108,1,1,0.98,0.693,1,1,510,0.3,0.5,0.5,0.8
"109",109,1,0.532,0.059,0.055,1,0.041,30,0.3,0,0,0.2
"110",110,1,0.993,0.052,0.057,1,0.051,120,0.3,0,0,0.2
"111",111,1,1,0.049,0.055,1,0.052,510,0.3,0,0,0.2
"112",112,1,0.542,0.045,0.04,1,0.055,30,0.3,0,0,0.4
"113",113,1,0.995,0.06,0.049,1,0.042,120,0.3,0,0,0.4
"114",114,1,1,0.044,0.048,1,0.054,510,0.3,0,0,0.4
"115",115,1,0.552,0.07,0.064,1,0.037,30,0.3,0,0,0.8
"116",116,1,0.996,0.055,0.049,1,0.044,120,0.3,0,0,0.8
"117",117,1,1,0.051,0.051,1,0.057,510,0.3,0,0,0.8
