"","condition","f_p_sib0","f_p_sib1","f_p_sib2","f_p_sib3","coef_intercept_p_sib0","coef_y_mean_p_sib0","coef_con_mean_p_sib0","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_intercept_p_sib1","coef_y_mean_p_sib1","coef_con_mean_p_sib1","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_intercept_p_sib2","coef_y_mean_p_sib2","coef_con_mean_p_sib2","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_intercept_p_sib3","coef_y_mean_p_sib3","coef_con_mean_p_sib3","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_Intercept_p_MLM0","coef_fixed_Intercept_p_MLM1","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_Intercept_p_MLM2","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_Intercept_p_MLM3","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_Intercept_p_MLM4","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_Intercept_p_MLM5","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_Intercept_p_MLM6","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6","CN","beta1","beta2","beta3","ICC"
"21",21,1,1,1,1,1,0,0.007,1,1,1,0.008,0.012,1,0.999,1,1,0,0.007,1,1,0.111,1,0.008,0.012,1,0.999,1,0.007,0.009,0.001,0.007,1,1,0.007,1,1,0.01,0,1,1,0,1,1,0.005,1,1,1,1,1,1,1,1,0,0,510,0.3,0.5,0,0.2
"22",22,0.994,0.988,0.997,0.985,1,0.006,0.01,0.937,0.982,0.974,0.015,0.012,0.934,0.156,0.791,0.999,0.007,0.007,0.93,0.979,0.044,0.891,0.014,0.01,0.871,0.12,0.621,0.016,0.013,0.001,0.014,1,1,0.012,1,1,0.003,0,0.991,1,0,0.977,1,0.021,0.411,1,1,0.643,0.331,1,1,0.562,0.001,0.001,30,0.3,0.5,0,0.4
"23",23,1,1,1,1,1,0.004,0.005,1,1,1,0.004,0.005,1,0.549,0.994,1,0.004,0.004,1,1,0.126,1,0.006,0.005,1,0.516,0.992,0.014,0.02,0.001,0.009,1,1,0.009,1,1,0.005,0,1,1,0,1,1,0.009,1,1,1,1,1,1,1,1,0,0,120,0.3,0.5,0,0.4
"24",24,1,1,1,1,1,0.004,0.003,1,1,1,0.014,0.011,1,0.992,1,1,0.004,0.003,1,1,0.107,1,0.012,0.012,1,0.99,1,0.01,0.01,0.001,0.009,1,1,0.009,1,1,0.015,0,1,1,0,1,1,0.012,1,1,1,1,1,1,1,1,0,0,510,0.3,0.5,0,0.4
"25",25,0.988,0.983,0.993,0.976,1,0.008,0.005,0.915,0.827,0.782,0.011,0.013,0.912,0.069,0.815,1,0.006,0.005,0.924,0.829,0.053,0.733,0.011,0.01,0.876,0.062,0.655,0.011,0.012,0.009,0.013,1,1,0.012,1,1,0.007,0,1,1,0,1,1,0.009,1,1,1,0.187,0.998,1,1,0.136,0,0,30,0.3,0.5,0,0.8
"26",26,1,1,1,1,1,0.004,0.003,1,1,1,0.013,0.011,1,0.295,0.996,1,0.003,0.003,1,1,0.109,0.998,0.011,0.012,1,0.276,0.992,0.01,0.006,0.005,0.008,1,1,0.008,1,1,0.004,0,1,1,0,1,1,0.008,1,1,1,1,1,1,1,0.999,0,0,120,0.3,0.5,0,0.8
"27",27,1,1,1,1,1,0.001,0.002,1,1,1,0.007,0.01,1,0.838,1,1,0.001,0.002,1,1,0.118,1,0.007,0.01,1,0.829,1,0.011,0.013,0.006,0.011,1,1,0.011,1,1,0.011,0,1,1,0,1,1,0.016,1,1,1,1,1,1,1,1,0,0,510,0.3,0.5,0,0.8
"28",28,0.937,0.927,0.922,0.929,0.633,0.108,0.033,0.964,0.098,0.519,0.031,0.016,0.97,0.024,0.139,0.559,0.11,0.033,0.952,0.071,0.047,0.304,0.028,0.013,0.913,0.021,0.001,0.204,0.07,0.005,0.007,1,0.968,0.01,1,0.996,0.984,0.003003003003003,1,0.0910910910910911,0.004,1,0.089,0.02,0.016,1,0.626,0.164,0.015,1,0.66,0.17,0.469,0.424,30,0.3,0.1,0.1,0.2
"29",29,1,1,1,1,1,0.664,0.184,1,0.525,0.998,0.155,0.025,1,0.124,0.855,1,0.676,0.194,1,0.635,0.151,0.986,0.183,0.036,1,0.225,0,0.938,0.711,0.005,0.014014014014014,1,1,0.01,1,1,1,0.005,1,0.693,0.005,1,0.692,0.022,0.069,1,1,0.782,0.072,1,1,0.835,0.995,0.997,120,0.3,0.1,0.1,0.2
"30",30,1,1,1,1,1,1,0.831,1,0.999,1,0.788,0.091,1,0.616,1,1,1,0.849,1,1,0.607,1,0.873,0.121,1,0.991,0.008,1,1,0.006,0.007,1,1,0.007,1,1,1,0.002,1,1,0.002,1,1,0.021,0.378,1,1,1,0.413,1,1,1,1,1,510,0.3,0.1,0.1,0.2
"31",31,0.951,0.947,0.93,0.935,0.625,0.099,0.046,0.988,0.103,0.489,0.027,0.018,0.983,0.015,0.169,0.547,0.083,0.044,0.974,0.098,0.036,0.243,0.024,0.022,0.92,0.018,0.003,0.207,0.07,0.008,0.014,1,0.967,0.009,1,0.992,0.878,0.011,1,0.554,0.009,1,0.543,0.015,0.052,1,0.826,0.063,0.05,1,0.794,0.055,0.343,0.314,30,0.3,0.1,0.1,0.4
"32",32,1,1,1,1,1,0.661,0.334,1,0.716,0.999,0.173,0.074,1,0.064,0.937,1,0.661,0.357,1,0.822,0.178,0.989,0.191,0.08,1,0.271,0.003,0.944,0.707,0.009,0.011,1,1,0.013,1,1,1,0.003,1,1,0.004,1,1,0.018,0.266,1,1,0.325,0.272,1,1,0.34,0.974,0.969,120,0.3,0.1,0.1,0.4
"33",33,1,1,1,1,1,1,0.985,1,1,1,0.8,0.313,1,0.412,1,1,1,0.99,1,1,0.654,1,0.877,0.426,1,0.995,0.014,1,1,0.012,0.004,1,1,0.004,1,1,1,0.002,1,1,0.002,1,1,0.011,0.952,1,1,0.975,0.959,1,1,0.976,1,1,510,0.3,0.1,0.1,0.4
"34",34,0.938,0.935,0.924,0.934,0.639,0.106,0.092,0.974,0.168,0.389,0.033,0.029,0.974,0.012,0.243,0.558,0.096,0.086,0.961,0.159,0.036,0.192,0.039,0.029,0.912,0.023,0.002,0.199,0.055,0.004,0.011,1,0.926,0.009,1,0.933,0.211,0.004,1,1,0.005,1,1,0.013,0.438,1,0.994,0.055,0.387,1,0.974,0.065,0.094,0.085,30,0.3,0.1,0.1,0.8
"35",35,1,1,1,1,0.999,0.668,0.581,1,0.851,0.988,0.17,0.123,1,0.023,0.995,1,0.67,0.587,1,0.904,0.156,0.942,0.202,0.159,1,0.352,0.006,0.945,0.711,0.01,0.007,1,1,0.008,1,1,0.847,0.004,1,1,0.002,1,1,0.007,0.995,1,1,0.335,0.995,1,1,0.308,0.449,0.46,120,0.3,0.1,0.1,0.8
"36",36,1,1,1,1,1,1,1,1,1,1,0.754,0.664,1,0.056,1,1,1,1,1,1,0.68,1,0.856,0.765,1,0.998,0.249,1,1,0.009,0.006,1,1,0.004,1,1,1,0.004,1,1,0.004,1,1,0.024,1,1,1,0.975,1,1,1,0.967,0.992,0.994,510,0.3,0.1,0.1,0.8
"37",37,0.9,0.866,0.908,0.869,0.996,0.161,0.016,0.839,0.906,0.932,0.067,0.02,0.828,0.077,0.235,0.967,0.152,0.016,0.838,0.907,0.044,0.575,0.084,0.024,0.744,0.159,0.044,0.112,0.079,0.003,0.011,1,1,0.01,1,1,0.955,0,1,0.584,0,1,0.556,0.026,0.027,1,1,0.859,0.023,0.998,0.999,0.841,0.071,0.093,30,0.3,0.3,0.1,0.2
"38",38,1,1,1,1,1,0.918,0.023,1,1,1,0.367,0.041,1,0.459,0.639,1,0.918,0.025,1,1,0.197,1,0.456,0.059,1,0.945,0.076,0.835,0.323,0.002,0.00900900900900901,1,1,0.012,1,1,1,0,1,1,0,1,1,0.014,0.471,1,1,1,0.481,1,1,1,0.837,0.838,120,0.3,0.3,0.1,0.2
"39",39,1,1,1,1,1,1,0.17,1,1,1,0.978,0.205,1,0.999,0.999,1,1,0.235,1,1,0.845,1,0.992,0.349,1,1,0.271,1,0.991,0.003,0.016,1,1,0.016,1,1,1,0,1,1,0,1,1,0.011,1,1,1,1,1,1,1,1,1,1,510,0.3,0.3,0.1,0.2
"40",40,0.904,0.88,0.918,0.866,0.999,0.139,0.018,0.839,0.887,0.841,0.055,0.021,0.827,0.057,0.289,0.967,0.129,0.021,0.84,0.898,0.054,0.474,0.066,0.03,0.752,0.135,0.038,0.097,0.053,0.003,0.011,1,1,0.012,1,1,0.767,0,1,1,0,1,1,0.018,0.295,1,1,0.357,0.265,0.999,0.999,0.327,0.049,0.035,30,0.3,0.3,0.1,0.4
"41",41,1,1,1,1,1,0.919,0.14,1,1,1,0.377,0.126,1,0.48,0.904,1,0.922,0.17,1,1,0.196,1,0.478,0.169,1,0.935,0.137,0.852,0.312,0.003,0.011,1,1,0.01,1,1,1,0,1,1,0,1,1,0.019,0.995,1,1,0.999,0.993,1,1,0.998,0.605,0.613,120,0.3,0.3,0.1,0.4
"42",42,1,1,1,1,1,1,0.862,1,1,1,0.974,0.565,1,0.996,1,1,1,0.905,1,1,0.851,1,0.993,0.742,1,1,0.85,1,0.996,0.002,0.009,1,1,0.009,1,1,1,0,1,1,0,1,1,0.016,1,1,1,1,1,1,1,1,0.999,1,510,0.3,0.3,0.1,0.4
"43",43,0.884,0.849,0.902,0.854,0.996,0.147,0.098,0.807,0.707,0.378,0.067,0.064,0.797,0.073,0.673,0.97,0.136,0.097,0.826,0.734,0.044,0.226,0.075,0.065,0.735,0.143,0.101,0.108,0.059,0.005,0.008,1,1,0.007,1,1,0.187,0,1,1,0.001,1,1,0.01,0.999,1,1,0.23,0.99,1,1,0.193,0.012,0.007,30,0.3,0.3,0.1,0.8
"44",44,1,1,1,1,1,0.916,0.732,1,1,0.965,0.383,0.301,1,0.463,1,1,0.922,0.749,1,1,0.204,0.72,0.491,0.398,1,0.863,0.916,0.847,0.269,0.01,0.013,1,1,0.012,1,1,0.789,0,1,1,0,1,1,0.013,1,1,1,0.978,1,1,1,0.975,0.091,0.084,120,0.3,0.3,0.1,0.8
"45",45,1,1,1,1,1,1,1,1,1,1,0.978,0.937,1,0.995,1,1,1,1,1,1,0.853,1,0.995,0.983,1,1,1,1,0.994,0.009,0.007,1,1,0.008,1,1,1,0,1,1,0,1,1,0.015,1,1,1,1,1,1,1,1,0.815,0.817,510,0.3,0.3,0.1,0.8
"46",46,0.995,0.993,0.998,0.995,1,0.187,0.018,0.908,1,0.997,0.035,0.025,0.903,0.119,0.615,0.998,0.158,0.016,0.904,0.997,0.036,0.898,0.041,0.039,0.863,0.21,0.325,0.123,0.212,0.001,0.012,1,1,0.015,1,1,0.919,0,0.968,0.847,0,0.943,0.825,0.019,0.033,0.997,1,0.968,0.023,0.993,1,0.961,0.023,0.009,30,0.3,0.5,0.1,0.2
"47",47,1,1,1,1,1,0.875,0.022,1,1,1,0.155,0.048,1,0.75,0.901,1,0.863,0.03,1,1,0.078,1,0.193,0.099,1,0.946,0.625,0.761,0.694,0.003,0.008,1,1,0.013,1,1,1,0,1,1,0,1,1,0.013,0.758,1,1,1,0.781,1,1,1,0.279,0.259,120,0.3,0.5,0.1,0.2
"48",48,1,1,1,1,1,1,0.073,1,1,1,0.601,0.072,1,1,1,1,1,0.07,1,1,0.085,1,0.625,0.115,1,1,0.982,1,1,0.001,0.01,1,1,0.007,1,1,1,0,1,1,0,1,1,0.008,1,1,1,1,1,1,1,1,1,1,510,0.3,0.5,0.1,0.2
"49",49,0.994,0.991,0.991,0.991,1,0.18,0.013,0.917,0.997,0.953,0.036,0.024,0.907,0.101,0.748,0.998,0.168,0.01,0.904,0.993,0.055,0.825,0.05,0.034,0.858,0.155,0.47,0.107,0.205,0.006,0.014,1,1,0.015,1,1,0.729,0,0.99,1,0,0.978,0.999,0.019,0.366,1,1,0.542,0.299,0.997,0.999,0.486,0.006,0.005,30,0.3,0.5,0.1,0.4
"50",50,1,1,1,1,1,0.877,0.018,1,1,1,0.154,0.036,1,0.63,0.991,1,0.863,0.013,1,1,0.075,1,0.196,0.065,1,0.858,0.826,0.765,0.682,0,0.014,1,1,0.011,1,1,1,0,1,1,0,1,1,0.01,1,1,1,1,1,1,1,1,0.129,0.121,120,0.3,0.5,0.1,0.4
"51",51,1,1,1,1,1,1,0.045,1,1,1,0.632,0.106,1,1,1,1,1,0.043,1,1,0.062,1,0.648,0.147,1,1,1,1,1,0.003,0.016,1,1,0.014,1,1,1,0,1,1,0,1,1,0.013,1,1,1,1,1,1,1,1,0.994,0.995,510,0.3,0.5,0.1,0.4
"52",52,0.994,0.993,0.993,0.985,1,0.141,0.072,0.903,0.949,0.629,0.036,0.029,0.892,0.075,0.94,0.999,0.129,0.058,0.882,0.94,0.043,0.596,0.039,0.034,0.836,0.102,0.531,0.089,0.173,0.005,0.024,1,1,0.023,1,1,0.202,0,1,1,0,1,1,0.019,1,1,1,0.238,0.995,1,1,0.189,0,0,30,0.3,0.5,0.1,0.8
"53",53,1,1,1,1,1,0.873,0.426,1,1,0.975,0.14,0.097,1,0.417,1,1,0.868,0.427,1,1,0.07,0.896,0.168,0.118,1,0.627,1,0.76,0.673,0.009,0.015,1,1,0.016,1,1,0.818,0,1,1,0,1,1,0.013,1,1,1,1,1,1,1,0.999,0.005,0.004,120,0.3,0.5,0.1,0.8
"54",54,1,1,1,1,1,1,0.995,1,1,1,0.604,0.448,1,0.989,1,1,1,0.995,1,1,0.065,1,0.624,0.47,1,1,1,1,1,0.005,0.01,1,1,0.01,1,1,1,0,1,1,0,1,1,0.011,1,1,1,1,1,1,1,1,0.305,0.296,510,0.3,0.5,0.1,0.8
"55",55,0.616,0.787,0.566,0.947,0.94,0.056,0.012,0.68,0.032,0.946,0.025,0.013,0.477,0.111,0.27,0.915,0.05,0.014,0.597,0.027,0.041,0.425,0.033,0.013,0.849,0.028,0.003,0.701,0.659,0.007,0.009,1,0.327,0.011,1,0.792,1,0.007,1,0.062,0.007,1,0.064,0.036,0.014,1,0.192,0.028,0.013,0.999,0.258,0.027,0.916,0.926,30,0.3,0.1,0.3,0.2
"56",56,1,1,1,1,1,0.302,0.026,1,0.211,1,0.094,0.009,1,0.594,0.982,1,0.295,0.029,0.999,0.309,0.15,1,0.148,0.016,1,0.612,0.052,1,1,0.012,0.009,1,0.984,0.011011011011011,1,1,1,0.004,1,0.533,0.004,1,0.532,0.03,0.032,1,0.934,0.162,0.041,1,0.976,0.197,1,1,120,0.3,0.1,0.3,0.2
"57",57,1,1,1,1,1,0.929,0.058,1,0.849,1,0.401,0.014,1,1,1,1,0.929,0.062,1,0.994,0.539,1,0.654,0.036,1,1,0.913,1,1,0.008,0.012,1,1,0.006,1,1,1,0.009,1,0.999,0.01,1,0.998,0.034,0.251,1,1,0.793,0.292,1,1,0.915,1,1,510,0.3,0.1,0.3,0.2
"58",58,0.611,0.764,0.583,0.921,0.925,0.066,0.021,0.677,0.039,0.933,0.034,0.01,0.508,0.091,0.253,0.9,0.059,0.025,0.605,0.043,0.039,0.368,0.044,0.019,0.827,0.034,0.003,0.705,0.648,0.012,0.009,1,0.371,0.01,1,0.539,0.992,0.004,1,0.337,0.005,1,0.334,0.031,0.026,1,0.404,0.016,0.027,1,0.358,0.014,0.755,0.743,30,0.3,0.1,0.3,0.4
"59",59,1,1,1,1,1,0.295,0.074,1,0.278,1,0.086,0.014,0.999,0.534,0.985,1,0.292,0.079,0.999,0.431,0.154,1,0.157,0.031,1,0.601,0.084,1,1,0.008,0.016,1,0.975,0.011,1,0.992,1,0.012,1,0.983,0.012,1,0.984,0.024,0.144,1,0.988,0.033,0.146,1,0.993,0.031,0.999,1,120,0.3,0.1,0.3,0.4
"60",60,1,1,1,1,1,0.933,0.388,1,0.943,1,0.392,0.026,1,0.999,1,1,0.93,0.409,1,0.999,0.578,1,0.633,0.058,1,1,0.942,1,1,0.008,0.009,1,1,0.011,1,1,1,0.006,1,1,0.007,1,1,0.023,0.73,1,1,0.14,0.768,1,1,0.161,1,1,510,0.3,0.1,0.3,0.4
"61",61,0.547,0.72,0.534,0.909,0.928,0.048,0.034,0.658,0.063,0.89,0.017,0.013,0.45,0.063,0.288,0.902,0.039,0.039,0.577,0.084,0.054,0.302,0.019,0.014,0.805,0.039,0.006,0.695,0.613,0.005,0.01,1,0.258,0.009,1,0.286,0.315,0.004,1,0.999,0.004,1,0.997,0.003,0.204,1,0.866,0.066,0.165,1,0.788,0.068,0.177,0.191,30,0.3,0.1,0.3,0.8
"62",62,1,1,1,1,1,0.284,0.219,1,0.413,1,0.079,0.044,0.997,0.326,0.991,1,0.276,0.208,0.999,0.545,0.165,0.997,0.145,0.101,1,0.634,0.175,1,1,0.012,0.007,1,0.958,0.008,1,0.963,0.938,0.006,1,1,0.008,1,1,0.006,0.886,1,1,0.426,0.878,1,1,0.431,0.707,0.7,120,0.3,0.1,0.3,0.8
"63",63,1,1,1,1,1,0.942,0.867,1,0.989,1,0.398,0.259,1,0.967,1,1,0.939,0.864,1,1,0.618,1,0.681,0.487,1,1,0.998,1,1,0.01,0.015,1,1,0.019,1,1,1,0.007,1,1,0.007,1,1,0.009,1,1,1,0.996,1,1,1,0.993,1,1,510,0.3,0.1,0.3,0.8
"64",64,0.899,0.877,0.865,0.972,0.998,0.266,0.011,0.44,0.62,0.964,0.102,0.013,0.404,0.027,0.252,0.987,0.248,0.01,0.414,0.585,0.035,0.555,0.127,0.018,0.721,0.199,0.022,0.604,0.515,0.001,0.011,1,1,0.016,1,1,1,0.001,0.999,0.51,0,0.996,0.489,0.028,0.04,0.999,0.988,0.356,0.044,0.991,0.993,0.411,0.766,0.774,30,0.3,0.3,0.3,0.2
"65",65,1,1,1,1,1,0.943,0.013,0.993,1,1,0.45,0.035,0.99,0.041,0.971,1,0.939,0.013,0.992,1,0.099,0.999,0.629,0.043,0.999,0.98,0.157,0.999,0.999,0.006,0.009,1,1,0.004,1,1,1,0.001,1,1,0.001,1,1,0.029,0.305,1,1,0.984,0.423,1,1,0.999,1,1,120,0.3,0.3,0.3,0.2
"66",66,1,1,1,1,1,1,0.008,1,1,1,0.982,0.136,1,0.105,1,1,1,0.011,1,1,0.314,1,0.999,0.175,1,1,0.888,1,1,0.005,0.007,1,1,0.006,1,1,1,0.002,1,1,0.002,1,1,0.021,0.979,1,1,1,1,1,1,1,1,1,510,0.3,0.3,0.3,0.2
"67",67,0.838,0.824,0.809,0.946,1,0.258,0.022,0.379,0.599,0.947,0.075,0.008,0.342,0.018,0.346,0.99,0.219,0.016,0.375,0.608,0.023,0.448,0.11,0.018,0.691,0.161,0.026,0.559,0.45,0.005,0.01,1,1,0.013,1,1,0.982,0,1,0.992,0,0.998,0.991,0.017,0.157,1,0.999,0.076,0.184,0.998,0.996,0.066,0.551,0.559,30,0.3,0.3,0.3,0.4
"68",68,1,1,1,1,1,0.951,0.124,0.991,1,1,0.429,0.02,0.988,0.033,0.991,1,0.942,0.135,0.995,1,0.105,1,0.614,0.041,1,0.98,0.362,1,1,0.005,0.014,1,1,0.014,1,1,1,0,1,1,0,1,1,0.025,0.878,1,1,0.499,0.93,1,1,0.583,1,0.999,120,0.3,0.3,0.3,0.4
"69",69,1,1,1,1,1,1,0.711,1,1,1,0.982,0.057,1,0.224,1,1,1,0.716,1,1,0.374,1,1,0.148,1,1,0.999,1,1,0.005,0.009,1,1,0.009,1,1,1,0.001,1,1,0.001,1,1,0.028,1,1,1,0.999,1,1,1,1,1,1,510,0.3,0.3,0.3,0.4
"70",70,0.794,0.747,0.745,0.899,0.999,0.236,0.139,0.304,0.483,0.598,0.076,0.049,0.249,0.041,0.498,0.995,0.214,0.127,0.28,0.485,0.031,0.131,0.096,0.056,0.602,0.16,0.085,0.53,0.379,0.005,0.013,1,0.992,0.013,1,0.992,0.303,0,1,1,0.001,1,1,0.009,0.957,1,1,0.378,0.923,0.999,0.999,0.344,0.112,0.115,30,0.3,0.3,0.3,0.8
"71",71,1,1,1,1,1,0.952,0.804,0.987,0.999,1,0.396,0.233,0.984,0.116,1,1,0.943,0.787,0.988,1,0.104,0.857,0.609,0.387,1,0.963,0.974,1,1,0.011,0.007,1,1,0.004,1,1,0.936,0,1,1,0,1,1,0.013,1,1,1,0.996,1,1,1,0.992,0.6,0.606,120,0.3,0.3,0.3,0.8
"72",72,1,1,1,1,1,1,1,1,1,1,0.979,0.886,1,0.601,1,1,1,1,1,1,0.474,1,0.998,0.983,1,1,1,1,1,0.009,0.005,1,1,0.003,1,1,1,0.001,1,1,0,1,1,0.009,1,1,1,1,1,1,1,1,1,1,510,0.3,0.3,0.3,0.8
"73",73,0.991,0.986,0.99,0.999,1,0.243,0.037,0.524,0.967,0.995,0.109,0.046,0.513,0.092,0.296,1,0.216,0.04,0.488,0.967,0.043,0.799,0.119,0.068,0.743,0.282,0.134,0.528,0.558,0,0.007,0.998,1,0.007,1,1,1,0,0.929,0.775,0,0.895,0.746,0.016,0.043,0.984,1,0.701,0.044,0.985,0.999,0.789,0.524,0.526,30,0.3,0.5,0.3,0.2
"74",74,1,1,1,1,1,0.903,0.159,0.997,1,1,0.419,0.122,0.997,0.452,0.952,1,0.896,0.166,0.996,1,0.044,1,0.456,0.238,1,0.965,0.487,0.998,1,0.001,0.013,1,1,0.015,1,1,1,0,1,1,0,1,1,0.014,0.567,1,1,1,0.669,1,1,1,1,1,120,0.3,0.5,0.3,0.2
"75",75,1,1,1,1,1,1,0.697,1,1,1,0.96,0.538,1,0.988,1,1,1,0.704,1,1,0.042,1,0.966,0.71,1,1,0.982,1,1,0.002,0.007,1,1,0.009,1,1,1,0,1,1,0,1,1,0.025,1,1,1,1,1,1,1,1,1,1,510,0.3,0.5,0.3,0.2
"76",76,0.989,0.981,0.982,0.99,1,0.226,0.012,0.433,0.946,0.963,0.09,0.02,0.424,0.078,0.465,0.998,0.201,0.011,0.406,0.935,0.016,0.587,0.126,0.025,0.679,0.224,0.155,0.47,0.463,0.006,0.01,0.999,1,0.009,1,1,0.986,0,0.984,1,0.001,0.968,1,0.018,0.31,0.998,1,0.16,0.307,0.994,1,0.188,0.295,0.307,30,0.3,0.5,0.3,0.4
"77",77,1,1,1,1,1,0.918,0.01,0.996,1,1,0.425,0.02,0.991,0.428,0.998,1,0.917,0.01,0.992,1,0.026,0.999,0.474,0.055,1,0.932,0.767,0.998,1,0.002,0.013,1,1,0.008,1,1,1,0,1,1,0,1,1,0.019,0.997,1,1,0.975,1,1,1,0.985,0.995,0.998,120,0.3,0.5,0.3,0.4
"78",78,1,1,1,1,1,1,0.01,1,1,1,0.962,0.018,1,0.985,1,1,1,0.01,1,1,0.035,1,0.973,0.045,1,1,1,1,1,0.004,0.008,1,1,0.007,1,1,1,0,1,1,0,1,1,0.012,1,1,1,1,1,1,1,1,1,1,510,0.3,0.5,0.3,0.4
"79",79,0.979,0.96,0.962,0.987,1,0.195,0.068,0.41,0.69,0.472,0.076,0.042,0.387,0.08,0.638,1,0.165,0.05,0.364,0.675,0.025,0.226,0.096,0.046,0.615,0.163,0.267,0.402,0.413,0.006,0.014,0.997,1,0.014,0.998,1,0.358,0,1,1,0,0.999,1,0.01,0.998,1,1,0.434,0.987,0.999,1,0.391,0.029,0.025,30,0.3,0.5,0.3,0.8
"80",80,1,1,1,1,1,0.933,0.579,0.992,1,0.998,0.376,0.202,0.988,0.399,1,1,0.928,0.552,0.989,1,0.033,0.749,0.466,0.25,1,0.839,0.999,0.999,0.998,0.007,0.012,1,1,0.012,1,1,0.965,0,1,1,0,1,1,0.008,1,1,1,1,1,1,1,1,0.451,0.456,120,0.3,0.5,0.3,0.8
"81",81,1,1,1,1,1,1,1,1,1,1,0.966,0.771,1,0.984,1,1,1,1,1,1,0.032,1,0.978,0.831,1,1,1,1,1,0.006,0.014,1,1,0.012,1,1,1,0,1,1,0,1,1,0.012,1,1,1,1,1,1,1,1,1,1,510,0.3,0.5,0.3,0.8
"82",82,0.441,0.407,0.465,0.828,0.999,0.011,0.013,0.564,0.011,0.996,0.009,0.011,0.241,0.029,0.021,0.996,0.012,0.015,0.491,0.014,0.096,0.219,0.02,0.014,0.525,0.023,0.002,0.757,0.604,0.008,0.009,0.992,0.129,0.007,1,0.346,1,0.007,0.989,0.069,0.007,0.985,0.072,0.027,0.015,0.989,0.103,0.017,0.015,0.994,0.103,0.012,0.908,0.91,30,0.3,0.1,0.5,0.2
"83",83,1,1,0.999,1,1,0.034,0.025,0.998,0.007,1,0.021,0.031,0.943,0.149,0.177,1,0.03,0.029,0.999,0.024,0.418,0.999,0.059,0.032,1,0.552,0.082,1,1,0.006,0.006,1,0.677,0.007,1,0.928,1,0.007,1,0.471,0.005,1,0.464,0.029,0.029,1,0.636,0.025,0.031,1,0.728,0.026,1,1,120,0.3,0.1,0.5,0.2
"84",84,1,1,1,1,1,0.155,0.03,1,0.018,1,0.078,0.048,1,0.821,0.922,1,0.138,0.033,1,0.117,0.968,1,0.182,0.069,1,1,0.999,1,1,0.01,0.01,1,1,0.007,1,1,1,0.008,1,0.998,0.009,1,0.998,0.022,0.191,1,1,0.154,0.216,1,1,0.159,1,1,510,0.3,0.1,0.5,0.2
"85",85,0.43,0.412,0.448,0.787,0.996,0.022,0.007,0.56,0.009,0.997,0.021,0.008,0.244,0.023,0.015,0.995,0.02,0.008,0.488,0.016,0.098,0.217,0.017,0.006,0.479,0.019,0.004,0.724,0.574,0.005,0.01,1,0.112,0.011,1,0.206,0.943,0.007,1,0.271,0.008,1,0.257,0.021,0.032,1,0.186,0.011,0.028,0.998,0.178,0.006,0.64,0.669,30,0.3,0.1,0.5,0.4
"86",86,0.999,0.999,0.999,1,1,0.047,0.017,0.998,0.02,1,0.029,0.011,0.928,0.151,0.219,1,0.046,0.015,0.998,0.04,0.424,1,0.05,0.015,1,0.56,0.103,1,1,0.005,0.008,1,0.602,0.011,1,0.754,1,0.007,1,0.952,0.005,1,0.95,0.023,0.098,1,0.851,0.004,0.103,1,0.853,0.01,1,0.999,120,0.3,0.1,0.5,0.4
