"","condition","f_p_sib0","f_p_sib1","f_p_sib2","f_p_sib3","coef_intercept_p_sib0","coef_y_mean_p_sib0","coef_con_mean_p_sib0","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_intercept_p_sib1","coef_y_mean_p_sib1","coef_con_mean_p_sib1","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_intercept_p_sib2","coef_y_mean_p_sib2","coef_con_mean_p_sib2","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_intercept_p_sib3","coef_y_mean_p_sib3","coef_con_mean_p_sib3","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_Intercept_p_MLM0","coef_fixed_Intercept_p_MLM1","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_Intercept_p_MLM2","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_Intercept_p_MLM3","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_Intercept_p_MLM4","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_Intercept_p_MLM5","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_Intercept_p_MLM6","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6","CN","beta1","beta2","beta3","ICC"
"98",98,1,1,1,1,1,0.221,0.113,0.936,0.392,1,0.103,0.051,0.8,0.019,0.518,1,0.17,0.077,0.939,0.402,0.349,0.872,0.223,0.104,1,0.798,0.666,1,1,0.009,0.006,1,1,0.005,1,1,0.835,0.002,1,1,0.002,1,1,0.011,1,1,1,0.999,1,1,1,1,0.592,0.555,120,0.3,0.3,0.5,0.8
"99",99,1,1,1,1,1,0.864,0.536,1,0.981,1,0.519,0.216,1,0.052,1,1,0.784,0.458,1,0.989,0.923,1,0.914,0.629,1,1,1,1,1,0.011,0.009,1,1,0.011,1,1,1,0.005,1,1,0.004,1,1,0.015,1,1,1,1,1,1,1,1,0.999,0.998,510,0.3,0.3,0.5,0.8
"100",100,0.825,0.78,0.808,0.951,1,0.069,0.078,0.242,0.367,0.998,0.049,0.082,0.201,0.037,0.052,1,0.048,0.088,0.237,0.385,0.05,0.442,0.074,0.072,0.363,0.151,0.026,0.593,0.413,0.002,0.011,0.916,1,0.014,1,1,1,0.001,0.792,0.719,0.001,0.765,0.703,0.021,0.05,0.894,0.997,0.283,0.051,0.924,0.994,0.376,0.788,0.795,30,0.3,0.5,0.5,0.2
"101",101,1,1,1,1,1,0.291,0.494,0.884,0.969,1,0.181,0.485,0.846,0.136,0.488,1,0.228,0.501,0.892,0.978,0.121,0.999,0.345,0.552,0.999,0.947,0.34,1,1,0,0.008,1,1,0.007,1,1,1,0.001,1,1,0.001,1,1,0.022,0.446,1,1,0.988,0.571,1,1,0.995,1,1,120,0.3,0.5,0.5,0.2
"102",102,1,1,1,1,1,0.882,0.996,1,1,1,0.629,0.992,1,0.572,0.999,1,0.812,0.996,1,1,0.507,1,0.94,0.999,1,1,0.999,1,1,0.001,0.009,1,1,0.015,1,1,1,0.001,1,1,0.001,1,1,0.021,0.998,1,1,1,1,1,1,1,1,1,510,0.3,0.5,0.5,0.2
"103",103,0.767,0.712,0.773,0.914,0.999,0.054,0.022,0.221,0.271,0.993,0.043,0.026,0.174,0.043,0.065,0.999,0.03,0.025,0.215,0.284,0.071,0.318,0.057,0.017,0.27,0.121,0.025,0.515,0.327,0.004,0.01,0.928,1,0.015,0.987,1,0.97,0.001,0.939,0.999,0.001,0.922,0.998,0.026,0.25,0.983,1,0.049,0.239,0.958,0.997,0.043,0.512,0.516,30,0.3,0.5,0.5,0.4
"104",104,1,1,1,1,1,0.282,0.058,0.832,0.942,1,0.149,0.078,0.802,0.113,0.657,1,0.212,0.065,0.842,0.934,0.136,0.995,0.342,0.052,0.996,0.912,0.524,1,1,0.006,0.009,1,1,0.009,1,1,1,0,1,1,0,1,1,0.017,0.965,1,1,0.343,0.984,1,1,0.417,1,1,120,0.3,0.5,0.5,0.4
"105",105,1,1,1,1,1,0.917,0.254,1,1,1,0.675,0.328,1,0.613,1,1,0.863,0.332,1,1,0.557,1,0.966,0.215,1,1,1,1,1,0.002,0.014,1,1,0.007,1,1,1,0,1,1,0,1,1,0.018,1,1,1,0.995,1,1,1,0.997,1,1,510,0.3,0.5,0.5,0.4
"106",106,0.65,0.568,0.615,0.802,1,0.045,0.023,0.215,0.123,0.756,0.035,0.023,0.186,0.027,0.1,1,0.028,0.018,0.203,0.105,0.05,0.101,0.054,0.029,0.246,0.084,0.067,0.513,0.314,0.011,0.014,0.934,0.993,0.016016016016016,0.953953953953954,0.993993993993994,0.311311311311311,0.001,1,1,0.002,1,1,0.009,0.989,1,1,0.611,0.97,0.999,1,0.554,0.102,0.091,30,0.3,0.5,0.5,0.8
"107",107,1,1,1,1,1,0.299,0.079,0.767,0.732,1,0.146,0.042,0.711,0.139,0.748,1,0.201,0.051,0.797,0.685,0.143,0.696,0.326,0.11,0.996,0.819,0.94,1,0.998,0.008,0.008,1,1,0.009,1,1,0.926,0.002,1,1,0.002,1,1,0.009,1,1,1,1,1,1,1,1,0.592,0.589,120,0.3,0.5,0.5,0.8
"108",108,1,1,1,1,1,0.936,0.466,1,1,1,0.678,0.208,1,0.658,1,1,0.871,0.322,1,1,0.617,1,0.964,0.612,1,1,1,1,1,0.006,0.011,1,1,0.01,1,1,1,0,1,1,0,1,1,0.016,1,1,1,1,1,1,1,1,1,1,510,0.3,0.5,0.5,0.8
"109",109,1,0.999,1,0.997,0.278,0.008,0.014,1,0.011,0.253,0.012,0.015,1,0.01,0.012,0.26,0.011,0.012,0.999,0.003,0.014,0.203,0.012,0.015,0.986,0.01,0.005,0.011,0.022,0.008,0.005,1,0.007,0.005,1,0.01,0.017,0.006,1,0.011,0.00600600600600601,1,0.00900900900900901,0.014014014014014,0.006,1,0.017,0.012,0.006,1,0.018,0.011,0.012,0.008,30,0.3,0,0,0.2
"110",110,1,1,1,1,0.974,0.007,0.009,1,0.01,0.962,0.007,0.01,1,0.01,0.007,0.974,0.007,0.009,1,0.006,0.017,0.944,0.008,0.01,1,0.004,0.006,0.011,0.015,0.006,0.016,1,0.008,0.017,1,0.007,0.012,0.014,1,0.008,0.014,1,0.008,0.009,0.015,1,0.007,0.012,0.013,1,0.007,0.011,0.019,0.006,120,0.3,0,0,0.2
"111",111,1,1,1,1,1,0.009,0.013,1,0.005,1,0.009,0.012,1,0.014,0.015,1,0.011,0.013,1,0.007,0.02,1,0.01,0.013,1,0.004,0.01,0.018,0.014,0.013,0.013,1,0.005,0.013,1,0.004,0.015,0.012,1,0.008,0.012,1,0.01,0.011,0.013,1,0.01,0.011,0.014,1,0.009,0.012,0.011,0.014,510,0.3,0,0,0.2
"112",112,0.999,0.999,0.998,0.998,0.277,0.012,0.006,1,0.011,0.253,0.011,0.004,1,0.01,0.01,0.236,0.012,0.009,0.999,0.007,0.009,0.174,0.012,0.009,0.981,0.003,0.002,0.009,0.013,0.015015015015015,0.005005005005005,1,0.017017017017017,0.005,1,0.016,0.013,0.00800800800800801,1,0.013013013013013,0.008,1,0.014,0.014,0.00800800800800801,1,0.011011011011011,0.00900900900900901,0.007,1,0.014,0.011,0.009,0.016,30,0.3,0,0,0.4
"113",113,1,1,1,1,0.967,0.012,0.01,1,0.006,0.956,0.012,0.012,1,0.01,0.016,0.96,0.012,0.012,1,0.007,0.015,0.932,0.012,0.013,1,0.011,0.005,0.019,0.017,0.01,0.011,1,0.009,0.01,1,0.006,0.008,0.01,1,0.009,0.013,1,0.008,0.008,0.014,1,0.013,0.006,0.014,1,0.013,0.006,0.014,0.015,120,0.3,0,0,0.4
"114",114,1,1,1,1,1,0.009,0.006,1,0.011,1,0.009,0.006,1,0.01,0.007,1,0.009,0.006,1,0.004,0.024,1,0.008,0.007,1,0.006,0.01,0.017,0.016,0.012,0.014,1,0.017,0.014,1,0.016,0.014,0.015,1,0.004,0.013,1,0.005,0.012,0.014,1,0.007,0.01,0.012,1,0.007,0.01,0.012,0.009,510,0.3,0,0,0.4
"115",115,0.999,1,0.999,0.998,0.297,0.016,0.016,1,0.008,0.266,0.017,0.017,1,0.013,0.008,0.276,0.015,0.014,0.999,0.004,0.011,0.197,0.013,0.015,0.975,0.011,0.017,0.019,0.021,0.007,0.005,1,0.011,0.006,1,0.013,0.014,0.005,1,0.007,0.004,1,0.008,0.014,0.006,1,0.01,0.008,0.007,1,0.007,0.008,0.02,0.015,30,0.3,0,0,0.8
"116",116,1,1,1,1,0.962,0.016,0.017,1,0.007,0.957,0.014,0.016,1,0.006,0.01,0.957,0.014,0.015,1,0.001,0.006,0.93,0.012,0.012,1,0.009,0.009,0.022,0.014,0.006,0.008,1,0.006,0.009,1,0.006,0.012,0.008,1,0.011,0.008,1,0.01,0.014,0.009,1,0.009,0.013,0.009,1,0.008,0.011,0.011,0.004,120,0.3,0,0,0.8
"117",117,1,1,1,1,1,0.01,0.014,1,0.008,1,0.01,0.013,1,0.01,0.006,1,0.01,0.011,1,0.005,0.016,1,0.009,0.009,1,0.009,0.004,0.017,0.014,0.015,0.011,1,0.009,0.011,1,0.009,0.013,0.011,1,0.014,0.011,1,0.014,0.014,0.01,1,0.008,0.007,0.009,1,0.007,0.007,0.007,0.005,510,0.3,0,0,0.8
