"","condition","f_p_sib2","coef_intercept_p_sib2","coef_y_mean_p_sib2","coef_con_mean_p_sib2","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","CN","beta1","beta2","beta3","ICC"
"69",69,1,1,1,0.883,1,1,0.571,510,0.3,0.3,0.3,0.4
"70",70,0.935,1,0.447,0.319,0.524,0.75,0.095,30,0.3,0.3,0.3,0.8
"71",71,1,1,0.989,0.923,0.999,1,0.232,120,0.3,0.3,0.3,0.8
"72",72,1,1,1,1,1,1,0.678,510,0.3,0.3,0.3,0.8
"73",73,0.999,1,0.462,0.134,0.706,0.991,0.115,30,0.3,0.5,0.3,0.2
"74",74,1,1,0.97,0.329,0.999,1,0.136,120,0.3,0.5,0.3,0.2
"75",75,1,1,1,0.876,1,1,0.131,510,0.3,0.5,0.3,0.2
"76",76,0.999,1,0.447,0.039,0.638,0.984,0.077,30,0.3,0.5,0.3,0.4
"77",77,1,1,0.971,0.061,1,1,0.102,120,0.3,0.5,0.3,0.4
"78",78,1,1,1,0.05,1,1,0.112,510,0.3,0.5,0.3,0.4
"79",79,0.999,1,0.414,0.197,0.598,0.872,0.089,30,0.3,0.5,0.3,0.8
"80",80,1,1,0.985,0.786,0.998,1,0.098,120,0.3,0.5,0.3,0.8
"81",81,1,1,1,1,1,1,0.094,510,0.3,0.5,0.3,0.8
"82",82,0.711,0.998,0.074,0.055,0.712,0.062,0.218,30,0.3,0.1,0.5,0.2
"83",83,1,1,0.126,0.078,1,0.103,0.627,120,0.3,0.1,0.5,0.2
"84",84,1,1,0.302,0.1,1,0.291,0.992,510,0.3,0.1,0.5,0.2
"85",85,0.682,0.999,0.063,0.041,0.717,0.066,0.224,30,0.3,0.1,0.5,0.4
"86",86,0.999,1,0.118,0.064,1,0.139,0.631,120,0.3,0.1,0.5,0.4
"87",87,1,1,0.295,0.051,1,0.359,0.989,510,0.3,0.1,0.5,0.4
"88",88,0.698,0.999,0.062,0.064,0.72,0.083,0.238,30,0.3,0.1,0.5,0.8
"89",89,0.999,1,0.12,0.083,0.999,0.15,0.642,120,0.3,0.1,0.5,0.8
"90",90,1,1,0.28,0.211,1,0.416,0.991,510,0.3,0.1,0.5,0.8
"91",91,0.823,1,0.117,0.1,0.562,0.227,0.173,30,0.3,0.3,0.5,0.2
"92",92,1,1,0.393,0.265,0.99,0.792,0.502,120,0.3,0.3,0.5,0.2
"93",93,1,1,0.918,0.789,1,1,0.952,510,0.3,0.3,0.5,0.2
"94",94,0.78,1,0.108,0.045,0.551,0.244,0.185,30,0.3,0.3,0.5,0.4
"95",95,1,1,0.368,0.053,0.993,0.749,0.524,120,0.3,0.3,0.5,0.4
"96",96,1,1,0.922,0.061,1,1,0.966,510,0.3,0.3,0.5,0.4
"97",97,0.723,0.999,0.112,0.075,0.504,0.194,0.187,30,0.3,0.3,0.5,0.8
"98",98,1,1,0.364,0.217,0.977,0.643,0.551,120,0.3,0.3,0.5,0.8
"99",99,1,1,0.927,0.664,1,0.999,0.973,510,0.3,0.3,0.5,0.8
"100",100,0.935,1,0.162,0.222,0.44,0.632,0.141,30,0.3,0.5,0.5,0.2
"101",101,1,1,0.413,0.734,0.961,0.998,0.258,120,0.3,0.5,0.5,0.2
"102",102,1,1,0.917,0.998,1,1,0.707,510,0.3,0.5,0.5,0.2
"103",103,0.936,1,0.13,0.079,0.419,0.513,0.159,30,0.3,0.5,0.5,0.4
"104",104,1,1,0.416,0.196,0.941,0.981,0.282,120,0.3,0.5,0.5,0.4
"105",105,1,1,0.941,0.582,1,1,0.742,510,0.3,0.5,0.5,0.4
"106",106,0.875,1,0.121,0.059,0.381,0.272,0.122,30,0.3,0.5,0.5,0.8
"107",107,1,1,0.429,0.16,0.924,0.846,0.307,120,0.3,0.5,0.5,0.8
"108",108,1,1,0.962,0.539,1,1,0.798,510,0.3,0.5,0.5,0.8
"109",109,1,0.511,0.055,0.057,1,0.031,0.053,30,0.3,0,0,0.2
"110",110,1,0.995,0.051,0.057,1,0.044,0.074,120,0.3,0,0,0.2
"111",111,1,1,0.046,0.051,1,0.049,0.085,510,0.3,0,0,0.2
"112",112,1,0.51,0.049,0.046,0.999,0.03,0.065,30,0.3,0,0,0.4
"113",113,1,0.996,0.06,0.049,1,0.035,0.067,120,0.3,0,0,0.4
"114",114,1,1,0.044,0.048,1,0.039,0.074,510,0.3,0,0,0.4
"115",115,1,0.521,0.061,0.059,1,0.028,0.05,30,0.3,0,0,0.8
"116",116,1,0.994,0.055,0.049,1,0.032,0.055,120,0.3,0,0,0.8
"117",117,1,1,0.053,0.052,1,0.045,0.072,510,0.3,0,0,0.8
