"","f_p_sib0","f_p_sib1","f_p_sib2","f_p_sib3","coef_intercept_p_sib0","coef_y_mean_p_sib0","coef_con_mean_p_sib0","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_intercept_p_sib1","coef_y_mean_p_sib1","coef_con_mean_p_sib1","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_intercept_p_sib2","coef_y_mean_p_sib2","coef_con_mean_p_sib2","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_intercept_p_sib3","coef_y_mean_p_sib3","coef_con_mean_p_sib3","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_Intercept_p_MLM0","coef_fixed_Intercept_p_MLM1","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_Intercept_p_MLM2","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_Intercept_p_MLM3","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_Intercept_p_MLM4","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_Intercept_p_MLM5","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_Intercept_p_MLM6","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6","condition"
"12",1,1,1,1,1,0.01,0.029,1,1,1,0.047,0.038,1,0.943,1,1,0.007,0.022,1,1,0.959,1,0.044,0.038,1,0.982,1,0.237,0.215,0.017,0.037,1,1,0.037,1,1,0.035,0,1,1,0,1,1,0.0436991869918699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"13",0.938,0.913,0.964,0.909,1,0.017,0.023,0.944,0.773,0.976,0.062,0.061,0.938,0.149,0.387,0.99,0.019,0.018,0.958,0.85,0.133,0.766,0.058,0.057,0.876,0.114,0.229,0.033,0.026,0.0282542885973764,0.044,1,1,0.046,1,1,0.049,0,1,1,0,1,1,0.0682788051209104,1,1,1,1,0.5,1,1,1,0.5,0,13
"14",1,1,1,1,1,0.007,0.023,1,1,1,0.044,0.047,1,0.339,0.895,1,0.006,0.019,1,1,0.429,1,0.042,0.041,1,0.353,0.856,0.017,0.025,0.031,0.049,1,1,0.049,1,1,0.042,0,1,1,0,1,1,0.0608899297423888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"15",1,1,1,1,1,0.008,0.023,1,1,1,0.051,0.047,1,0.875,1,1,0.008,0.021,1,1,0.955,1,0.049,0.046,1,0.94,1,0.242,0.218,0.023,0.055,1,1,0.054,1,1,0.038,0,1,1,0,1,1,0.0537525354969574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"16",0.949,0.928,0.959,0.908,1,0.021,0.022,0.953,0.427,0.787,0.059,0.05,0.944,0.105,0.419,0.998,0.019,0.02,0.965,0.468,0.119,0.58,0.051,0.044,0.9,0.094,0.242,0.026,0.025,0.041,0.047,1,1,0.05,1,1,0.047,0,1,1,0,1,1,0.0321678321678322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"17",1,1,1,1,1,0.004,0.009,1,0.924,1,0.054,0.055,1,0.186,0.914,1,0.005,0.007,1,0.986,0.433,0.996,0.048,0.048,1,0.21,0.895,0.022,0.034,0.047,0.055,1,1,0.056,1,1,0.05,0,1,1,0,1,1,0.0504103165298945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"18",1,1,1,1,1,0.002,0.006,1,1,1,0.046,0.043,1,0.578,1,1,0.003,0.007,1,1,0.957,1,0.046,0.037,1,0.67,1,0.238,0.228,0.039,0.062,1,1,0.062,1,1,0.058,0,1,1,0,1,1,0.0397148676171079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"19",0.999,0.994,0.998,0.993,1,0.035,0.037,0.964,0.999,1,0.037,0.033,0.96,0.427,0.795,1,0.031,0.041,0.965,0.998,0.135,0.971,0.044,0.036,0.939,0.351,0.69,0.042,0.052,0.00458190148911798,0.059,1,1,0.057,1,1,0.064,0,0.989230769230769,0.990769230769231,0,0.984177215189873,0.981012658227848,0.0838607594936709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"20",1,1,1,1,1,0.018,0.027,1,1,1,0.044,0.042,1,0.793,0.987,1,0.017,0.03,1,1,0.238,1,0.045,0.042,1,0.776,0.981,0.054,0.054,0.0120481927710843,0.035,1,1,0.037,1,1,0.052,0,1,1,0,1,1,0.0586552217453505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"21",1,1,1,1,1,0.012,0.03,1,1,1,0.039,0.055,1,1,1,1,0.013,0.031,1,1,0.211,1,0.043,0.058,1,1,1,0.031,0.033,0.013,0.044,1,1,0.043,1,1,0.055,0,1,1,0,1,1,0.0469715698393078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
