"","condition","coef_fixed_Intercept_p_MLM4","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","CN","beta1","beta2","beta3","ICC"
"79",79,0.002,1,1,0.056,30,0.3,0.5,0.3,0.8
"80",80,0.001,1,1,0.053,120,0.3,0.5,0.3,0.8
"81",81,0.001,1,1,0.059,510,0.3,0.5,0.3,0.8
"82",82,0.038,0.996,0.208,0.095,30,0.3,0.1,0.5,0.2
"83",83,0.038,1,0.711,0.103,120,0.3,0.1,0.5,0.2
"84",84,0.039,1,1,0.102,510,0.3,0.1,0.5,0.2
"85",85,0.041,1,0.507,0.078,30,0.3,0.1,0.5,0.4
"86",86,0.038,1,0.992,0.089,120,0.3,0.1,0.5,0.4
"87",87,0.048,1,1,0.091,510,0.3,0.1,0.5,0.4
"88",88,0.044,1,0.999,0.046,30,0.3,0.1,0.5,0.8
"89",89,0.048,1,1,0.067,120,0.3,0.1,0.5,0.8
"90",90,0.042,1,1,0.057,510,0.3,0.1,0.5,0.8
"91",91,0.017,0.979,0.775,0.107,30,0.3,0.3,0.5,0.2
"92",92,0.019,1,1,0.116,120,0.3,0.3,0.5,0.2
"93",93,0.031,1,1,0.104,510,0.3,0.3,0.5,0.2
"94",94,0.021,0.998,0.998,0.072,30,0.3,0.3,0.5,0.4
"95",95,0.026,1,1,0.091,120,0.3,0.3,0.5,0.4
"96",96,0.019,1,1,0.084,510,0.3,0.3,0.5,0.4
"97",97,0.027,1,1,0.05,30,0.3,0.3,0.5,0.8
"98",98,0.018,1,1,0.042,120,0.3,0.3,0.5,0.8
"99",99,0.014,1,1,0.058,510,0.3,0.3,0.5,0.8
"100",100,0.011,0.903,0.932,0.08,30,0.3,0.5,0.5,0.2
"101",101,0.008,1,1,0.089,120,0.3,0.5,0.5,0.2
"102",102,0.01,1,1,0.084,510,0.3,0.5,0.5,0.2
"103",103,0.006,0.978,1,0.088,30,0.3,0.5,0.5,0.4
"104",104,0.004,1,1,0.06,120,0.3,0.5,0.5,0.4
"105",105,0.006,1,1,0.063,510,0.3,0.5,0.5,0.4
"106",106,0.014,1,1,0.048,30,0.3,0.5,0.5,0.8
"107",107,0.004,1,1,0.051,120,0.3,0.5,0.5,0.8
"108",108,0.009,1,1,0.058,510,0.3,0.5,0.5,0.8
"109",109,0.041041041041041,1,0.043043043043043,0.0600600600600601,30,0.3,0,0,0.2
"110",110,0.047,1,0.046,0.053,120,0.3,0,0,0.2
"111",111,0.045,1,0.049,0.045,510,0.3,0,0,0.2
"112",112,0.043,1,0.046,0.056,30,0.3,0,0,0.4
"113",113,0.05,1,0.053,0.052,120,0.3,0,0,0.4
"114",114,0.057,1,0.056,0.048,510,0.3,0,0,0.4
"115",115,0.039,1,0.048,0.052,30,0.3,0,0,0.8
"116",116,0.05,1,0.053,0.049,120,0.3,0,0,0.8
"117",117,0.045,1,0.056,0.052,510,0.3,0,0,0.8
