"","condition","coef_fixed_Intercept_p_MLM2","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","CN","beta1","beta2","beta3","ICC"
"92",92,0.06,1,1,1,120,0.3,0.3,0.5,0.2
"93",93,0.056,1,1,1,510,0.3,0.3,0.5,0.2
"94",94,0.048,1,0.993,0.993,30,0.3,0.3,0.5,0.4
"95",95,0.04004004004004,1,1,1,120,0.3,0.3,0.5,0.4
"96",96,0.042,1,1,1,510,0.3,0.3,0.5,0.4
"97",97,0.048,1,0.92,0.401,30,0.3,0.3,0.5,0.8
"98",98,0.052,1,1,0.949,120,0.3,0.3,0.5,0.8
"99",99,0.056,1,1,1,510,0.3,0.3,0.5,0.8
"100",100,0.07,1,1,1,30,0.3,0.5,0.5,0.2
"101",101,0.04,1,1,1,120,0.3,0.5,0.5,0.2
"102",102,0.052,1,1,1,510,0.3,0.5,0.5,0.2
"103",103,0.05,0.996,1,0.992,30,0.3,0.5,0.5,0.4
"104",104,0.045,1,1,1,120,0.3,0.5,0.5,0.4
"105",105,0.04,1,1,1,510,0.3,0.5,0.5,0.4
"106",106,0.0560560560560561,0.990990990990991,0.997997997997998,0.533533533533533,30,0.3,0.5,0.5,0.8
"107",107,0.058,1,1,0.98,120,0.3,0.5,0.5,0.8
"108",108,0.046,1,1,1,510,0.3,0.5,0.5,0.8
"109",109,0.035,1,0.046,0.062,30,0.3,0,0,0.2
"110",110,0.049,1,0.054,0.054,120,0.3,0,0,0.2
"111",111,0.049,1,0.049,0.07,510,0.3,0,0,0.2
"112",112,0.048,1,0.064,0.056,30,0.3,0,0,0.4
"113",113,0.051,1,0.053,0.057,120,0.3,0,0,0.4
"114",114,0.056,1,0.06,0.052,510,0.3,0,0,0.4
"115",115,0.034,1,0.048,0.058,30,0.3,0,0,0.8
"116",116,0.045,1,0.05,0.051,120,0.3,0,0,0.8
"117",117,0.044,1,0.037,0.053,510,0.3,0,0,0.8
