"","condition","coef_fixed_Intercept_p_MLM6","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6","CN","beta1","beta2","beta3","ICC"
"78",78,1,1,1,1,1,1,510,0.3,0.5,0.3,0.4
"79",79,0.997,1,1,0.701,0.143,0.138,30,0.3,0.5,0.3,0.8
"80",80,1,1,1,1,0.766,0.756,120,0.3,0.5,0.3,0.8
"81",81,1,1,1,1,1,1,510,0.3,0.5,0.3,0.8
"82",82,0.064,0.998,0.294,0.049,0.968,0.972,30,0.3,0.1,0.5,0.2
"83",83,0.122,1,0.89,0.107,1,1,120,0.3,0.1,0.5,0.2
"84",84,0.454,1,1,0.349,1,1,510,0.3,0.1,0.5,0.2
"85",85,0.108,1,0.392,0.053,0.831,0.848,30,0.3,0.1,0.5,0.4
"86",86,0.274,1,0.954,0.044,1,1,120,0.3,0.1,0.5,0.4
"87",87,0.814,1,1,0.055,1,1,510,0.3,0.1,0.5,0.4
"88",88,0.301,1,0.785,0.238,0.272,0.291,30,0.3,0.1,0.5,0.8
"89",89,0.918,1,1,0.796,0.706,0.714,120,0.3,0.1,0.5,0.8
"90",90,1,1,1,1,0.999,0.999,510,0.3,0.1,0.5,0.8
"91",91,0.152,0.995,0.976,0.251,0.96,0.975,30,0.3,0.3,0.5,0.2
"92",92,0.597,1,1,0.863,1,1,120,0.3,0.3,0.5,0.2
"93",93,1,1,1,1,1,1,510,0.3,0.3,0.5,0.2
"94",94,0.33,0.997,0.988,0.046,0.836,0.838,30,0.3,0.3,0.5,0.4
"95",95,0.946,1,1,0.132,1,1,120,0.3,0.3,0.5,0.4
"96",96,1,1,1,0.446,1,1,510,0.3,0.3,0.5,0.4
"97",97,0.946,0.999,0.999,0.727,0.262,0.279,30,0.3,0.3,0.5,0.8
"98",98,1,1,1,1,0.809,0.777,120,0.3,0.3,0.5,0.8
"99",99,1,1,1,1,1,1,510,0.3,0.3,0.5,0.8
"100",100,0.195,0.98,1,0.666,0.942,0.931,30,0.3,0.5,0.5,0.2
"101",101,0.843,1,1,1,1,1,120,0.3,0.5,0.5,0.2
"102",102,1,1,1,1,1,1,510,0.3,0.5,0.5,0.2
"103",103,0.527,0.988,0.999,0.16,0.763,0.792,30,0.3,0.5,0.5,0.4
"104",104,0.997,1,1,0.682,1,1,120,0.3,0.5,0.5,0.4
"105",105,1,1,1,1,1,1,510,0.3,0.5,0.5,0.4
"106",106,0.993,1,1,0.808,0.272,0.262,30,0.3,0.5,0.5,0.8
"107",107,1,1,1,1,0.852,0.825,120,0.3,0.5,0.5,0.8
"108",108,1,1,1,1,1,1,510,0.3,0.5,0.5,0.8
"109",109,0.048,1,0.058,0.052,0.054,0.058,30,0.3,0,0,0.2
"110",110,0.054,1,0.053,0.055,0.066,0.05,120,0.3,0,0,0.2
"111",111,0.051,1,0.044,0.052,0.048,0.064,510,0.3,0,0,0.2
"112",112,0.046,1,0.056,0.054,0.039,0.052,30,0.3,0,0,0.4
"113",113,0.053,1,0.048,0.041,0.059,0.051,120,0.3,0,0,0.4
"114",114,0.051,1,0.047,0.049,0.057,0.05,510,0.3,0,0,0.4
"115",115,0.038,1,0.048,0.051,0.05,0.06,30,0.3,0,0,0.8
"116",116,0.052,1,0.047,0.052,0.042,0.045,120,0.3,0,0,0.8
"117",117,0.038,1,0.041,0.043,0.054,0.043,510,0.3,0,0,0.8
