"","condition","coef_fixed_Intercept_p_MLM1","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","CN","beta1","beta2","beta3","ICC"
"108",108,0.046,1,1,510,0.3,0.5,0.5,0.8
"109",109,0.038,1,0.046,30,0.3,0,0,0.2
"110",110,0.05,1,0.054,120,0.3,0,0,0.2
"111",111,0.047,1,0.05,510,0.3,0,0,0.2
"112",112,0.0510510510510511,1,0.0600600600600601,30,0.3,0,0,0.4
"113",113,0.05,1,0.057,120,0.3,0,0,0.4
"114",114,0.056,1,0.062,510,0.3,0,0,0.4
"115",115,0.031,1,0.051,30,0.3,0,0,0.8
"116",116,0.044,1,0.049,120,0.3,0,0,0.8
"117",117,0.044,1,0.038,510,0.3,0,0,0.8
