"","condition","f_p_sib1","coef_intercept_p_sib1","coef_y_mean_p_sib1","coef_con_mean_p_sib1","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","CN","beta1","beta2","beta3","ICC"
"68",68,1,1,0.638,0.083,1,0.137,1,120,0.3,0.3,0.3,0.4
"69",69,1,1,0.997,0.166,1,0.421,1,510,0.3,0.3,0.3,0.4
"70",70,0.936,0.828,0.186,0.137,0.49,0.108,0.784,30,0.3,0.3,0.3,0.8
"71",71,1,1,0.637,0.453,0.999,0.273,1,120,0.3,0.3,0.3,0.8
"72",72,1,1,0.993,0.966,1,0.796,1,510,0.3,0.3,0.3,0.8
"73",73,1,1,0.239,0.136,0.719,0.229,0.53,30,0.3,0.5,0.3,0.2
"74",74,1,1,0.601,0.266,0.999,0.649,0.986,120,0.3,0.5,0.3,0.2
"75",75,1,1,0.983,0.752,1,0.999,1,510,0.3,0.5,0.3,0.2
"76",76,0.998,0.995,0.203,0.07,0.645,0.211,0.721,30,0.3,0.5,0.3,0.4
"77",77,1,1,0.592,0.075,1,0.651,1,120,0.3,0.5,0.3,0.4
"78",78,1,1,0.988,0.074,1,0.996,1,510,0.3,0.5,0.3,0.4
"79",79,0.997,0.671,0.196,0.138,0.617,0.211,0.84,30,0.3,0.5,0.3,0.8
"80",80,1,1,0.584,0.393,0.998,0.628,1,120,0.3,0.5,0.3,0.8
"81",81,1,1,0.995,0.901,1,0.997,1,510,0.3,0.5,0.3,0.8
"82",82,0.677,0.999,0.067,0.042,0.457,0.107,0.089,30,0.3,0.1,0.5,0.2
"83",83,1,1,0.1,0.086,0.982,0.349,0.414,120,0.3,0.1,0.5,0.2
"84",84,1,1,0.206,0.154,1,0.931,0.99,510,0.3,0.1,0.5,0.2
"85",85,0.652,1,0.064,0.041,0.452,0.108,0.091,30,0.3,0.1,0.5,0.4
"86",86,1,1,0.1,0.061,0.978,0.358,0.487,120,0.3,0.1,0.5,0.4
"87",87,1,1,0.211,0.049,1,0.93,0.987,510,0.3,0.1,0.5,0.4
"88",88,0.664,1,0.061,0.058,0.477,0.095,0.114,30,0.3,0.1,0.5,0.8
"89",89,1,1,0.085,0.062,0.978,0.277,0.479,120,0.3,0.1,0.5,0.8
"90",90,1,1,0.193,0.137,1,0.845,0.994,510,0.3,0.1,0.5,0.8
"91",91,0.788,0.999,0.101,0.11,0.42,0.052,0.132,30,0.3,0.3,0.5,0.2
"92",92,1,1,0.298,0.323,0.966,0.059,0.618,120,0.3,0.3,0.5,0.2
"93",93,1,1,0.714,0.897,1,0.059,0.999,510,0.3,0.3,0.5,0.2
"94",94,0.732,0.997,0.102,0.058,0.402,0.048,0.159,30,0.3,0.3,0.5,0.4
"95",95,1,1,0.249,0.073,0.942,0.062,0.702,120,0.3,0.3,0.5,0.4
"96",96,1,1,0.729,0.124,1,0.049,1,510,0.3,0.3,0.5,0.4
"97",97,0.659,0.978,0.113,0.083,0.379,0.067,0.191,30,0.3,0.3,0.5,0.8
"98",98,1,1,0.252,0.145,0.913,0.078,0.786,120,0.3,0.3,0.5,0.8
"99",99,1,1,0.725,0.426,1,0.146,1,510,0.3,0.3,0.5,0.8
"100",100,0.916,0.999,0.145,0.208,0.395,0.112,0.191,30,0.3,0.5,0.5,0.2
"101",101,1,1,0.337,0.708,0.958,0.287,0.76,120,0.3,0.5,0.5,0.2
"102",102,1,1,0.798,0.999,1,0.769,1,510,0.3,0.5,0.5,0.2
