"","condition","coef_fixed_Intercept_p_MLM5","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","CN","beta1","beta2","beta3","ICC"
"93",93,0.986,1,1,1,510,0.3,0.3,0.5,0.2
"94",94,0.317,1,0.993,0.05,30,0.3,0.3,0.5,0.4
"95",95,0.922,1,1,0.129,120,0.3,0.3,0.5,0.4
"96",96,1,1,1,0.41,510,0.3,0.3,0.5,0.4
"97",97,0.971,1,1,0.785,30,0.3,0.3,0.5,0.8
"98",98,1,1,1,1,120,0.3,0.3,0.5,0.8
"99",99,1,1,1,1,510,0.3,0.3,0.5,0.8
"100",100,0.168,0.967,1,0.58,30,0.3,0.5,0.5,0.2
"101",101,0.735,1,1,0.998,120,0.3,0.5,0.5,0.2
"102",102,1,1,1,1,510,0.3,0.5,0.5,0.2
"103",103,0.512,0.999,1,0.166,30,0.3,0.5,0.5,0.4
"104",104,0.994,1,1,0.593,120,0.3,0.5,0.5,0.4
"105",105,1,1,1,1,510,0.3,0.5,0.5,0.4
"106",106,0.999,1,1,0.849,30,0.3,0.5,0.5,0.8
"107",107,1,1,1,1,120,0.3,0.5,0.5,0.8
"108",108,1,1,1,1,510,0.3,0.5,0.5,0.8
"109",109,0.04,1,0.058,0.05,30,0.3,0,0,0.2
"110",110,0.052,1,0.053,0.056,120,0.3,0,0,0.2
"111",111,0.053,1,0.044,0.05,510,0.3,0,0,0.2
"112",112,0.044044044044044,1,0.0560560560560561,0.0580580580580581,30,0.3,0,0,0.4
"113",113,0.053,1,0.049,0.043,120,0.3,0,0,0.4
"114",114,0.054,1,0.05,0.047,510,0.3,0,0,0.4
"115",115,0.032,1,0.039,0.039,30,0.3,0,0,0.8
"116",116,0.051,1,0.042,0.051,120,0.3,0,0,0.8
"117",117,0.038,1,0.041,0.044,510,0.3,0,0,0.8
