"","condition","f_p_sib3","coef_intercept_p_sib3","coef_y_mean_p_sib3","coef_con_mean_p_sib3","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","CN","beta1","beta2","beta3","ICC"
"58",58,0.979,0.653,0.119,0.06,0.931,0.154,0.033,0.856,0.842,30,0.3,0.1,0.3,0.4
"59",59,1,1,0.325,0.09,1,0.89,0.36,1,1,120,0.3,0.1,0.3,0.4
"60",60,1,1,0.832,0.172,1,1,0.994,1,1,510,0.3,0.1,0.3,0.4
"61",61,0.977,0.61,0.085,0.067,0.926,0.145,0.055,0.852,0.83,30,0.3,0.1,0.3,0.8
"62",62,1,1,0.309,0.222,1,0.892,0.563,1,1,120,0.3,0.1,0.3,0.8
"63",63,1,1,0.836,0.723,1,1,1,1,1,510,0.3,0.1,0.3,0.8
"64",64,0.995,0.791,0.285,0.09,0.863,0.445,0.089,0.777,0.742,30,0.3,0.3,0.3,0.2
"65",65,1,1,0.819,0.136,0.999,0.998,0.356,0.999,0.999,120,0.3,0.3,0.3,0.2
"66",66,1,1,1,0.352,1,1,0.965,1,1,510,0.3,0.3,0.3,0.2
"67",67,0.989,0.698,0.265,0.066,0.857,0.399,0.115,0.771,0.706,30,0.3,0.3,0.3,0.4
"68",68,1,1,0.818,0.134,1,0.998,0.687,1,1,120,0.3,0.3,0.3,0.4
"69",69,1,1,1,0.33,1,1,1,1,1,510,0.3,0.3,0.3,0.4
"70",70,0.978,0.314,0.248,0.187,0.819,0.405,0.301,0.756,0.637,30,0.3,0.3,0.3,0.8
"71",71,1,0.955,0.82,0.654,1,0.998,0.997,1,1,120,0.3,0.3,0.3,0.8
"72",72,1,1,1,0.996,1,1,1,1,1,510,0.3,0.3,0.3,0.8
"73",73,1,0.905,0.247,0.204,0.88,0.464,0.301,0.727,0.761,30,0.3,0.5,0.3,0.2
"74",74,1,1,0.61,0.413,1,0.995,0.679,1,1,120,0.3,0.5,0.3,0.2
"75",75,1,1,0.985,0.864,1,1,0.993,1,1,510,0.3,0.5,0.3,0.2
"76",76,1,0.784,0.23,0.102,0.842,0.434,0.34,0.705,0.707,30,0.3,0.5,0.3,0.4
"77",77,1,1,0.626,0.132,1,0.977,0.921,0.999,1,120,0.3,0.5,0.3,0.4
"78",78,1,1,0.988,0.131,1,1,1,1,1,510,0.3,0.5,0.3,0.4
"79",79,1,0.401,0.217,0.149,0.8,0.338,0.568,0.658,0.646,30,0.3,0.5,0.3,0.8
"80",80,1,0.879,0.646,0.45,1,0.938,1,1,1,120,0.3,0.5,0.3,0.8
"81",81,1,1,0.996,0.923,1,1,1,1,1,510,0.3,0.5,0.3,0.8
"82",82,0.933,0.547,0.068,0.055,0.76,0.104,0.027,0.902,0.822,30,0.3,0.1,0.5,0.2
"83",83,1,1,0.169,0.101,1,0.893,0.472,1,1,120,0.3,0.1,0.5,0.2
"84",84,1,1,0.388,0.175,1,1,1,1,1,510,0.3,0.1,0.5,0.2
"85",85,0.927,0.532,0.072,0.041,0.719,0.096,0.033,0.879,0.796,30,0.3,0.1,0.5,0.4
"86",86,1,1,0.138,0.057,1,0.884,0.479,1,1,120,0.3,0.1,0.5,0.4
"87",87,1,1,0.385,0.067,1,1,1,1,1,510,0.3,0.1,0.5,0.4
"88",88,0.911,0.471,0.06,0.055,0.722,0.104,0.039,0.864,0.777,30,0.3,0.1,0.5,0.8
"89",89,1,1,0.131,0.093,1,0.867,0.546,1,1,120,0.3,0.1,0.5,0.8
"90",90,1,1,0.361,0.261,1,1,1,1,1,510,0.3,0.1,0.5,0.8
"91",91,0.969,0.592,0.141,0.12,0.704,0.254,0.073,0.857,0.764,30,0.3,0.3,0.5,0.2
"92",92,1,0.999,0.495,0.365,1,0.989,0.557,1,1,120,0.3,0.3,0.5,0.2
"93",93,1,1,0.973,0.926,1,1,1,1,1,510,0.3,0.3,0.5,0.2
"94",94,0.936,0.518,0.108,0.038,0.638,0.189,0.051,0.837,0.701,30,0.3,0.3,0.5,0.4
"95",95,1,1,0.428,0.062,1,0.971,0.693,1,1,120,0.3,0.3,0.5,0.4
"96",96,1,1,0.981,0.072,1,1,1,1,1,510,0.3,0.3,0.5,0.4
"97",97,0.899,0.299,0.139,0.092,0.6,0.221,0.119,0.819,0.675,30,0.3,0.3,0.5,0.8
"98",98,1,0.978,0.45,0.272,1,0.951,0.948,1,1,120,0.3,0.3,0.5,0.8
"99",99,1,1,0.979,0.816,1,1,1,1,1,510,0.3,0.3,0.5,0.8
"100",100,0.995,0.723,0.18,0.218,0.602,0.35,0.125,0.777,0.7,30,0.3,0.5,0.5,0.2
"101",101,1,1,0.544,0.778,1,0.99,0.686,1,1,120,0.3,0.5,0.5,0.2
"102",102,1,1,0.972,1,1,1,1,1,1,510,0.3,0.5,0.5,0.2
"103",103,0.979,0.588,0.15,0.064,0.547,0.322,0.12,0.753,0.605,30,0.3,0.5,0.5,0.4
"104",104,1,0.999,0.558,0.151,1,0.984,0.859,1,1,120,0.3,0.5,0.5,0.4
"105",105,1,1,0.988,0.423,1,1,1,1,1,510,0.3,0.5,0.5,0.4
"106",106,0.954,0.255,0.134,0.089,0.509,0.245,0.239,0.748,0.576,30,0.3,0.5,0.5,0.8
"107",107,1,0.886,0.551,0.271,0.999,0.94,0.994,1,1,120,0.3,0.5,0.5,0.8
"108",108,1,1,0.994,0.809,1,1,1,1,1,510,0.3,0.5,0.5,0.8
"109",109,1,0.428,0.06,0.055,0.994,0.052,0.041,0.063,0.065,30,0.3,0,0,0.2
"110",110,1,0.985,0.053,0.058,1,0.031,0.031,0.054,0.055,120,0.3,0,0,0.2
"111",111,1,1,0.048,0.047,1,0.035,0.043,0.077,0.075,510,0.3,0,0,0.2
"112",112,0.999,0.413,0.049,0.047,0.993,0.038,0.027,0.05,0.046,30,0.3,0,0,0.4
"113",113,1,0.981,0.067,0.05,1,0.04,0.037,0.08,0.065,120,0.3,0,0,0.4
"114",114,1,1,0.046,0.052,1,0.04,0.046,0.065,0.065,510,0.3,0,0,0.4
"115",115,1,0.42,0.068,0.065,0.993,0.047,0.042,0.07,0.068,30,0.3,0,0,0.8
"116",116,1,0.974,0.048,0.049,1,0.048,0.039,0.076,0.077,120,0.3,0,0,0.8
"117",117,1,1,0.05,0.05,1,0.036,0.028,0.068,0.056,510,0.3,0,0,0.8
